bior1.1
RFC;44.462;45.077;42.077;42.615;43.385;41.154;43.538;41.769;41.000;42.154;40.308;41.154;43.462;41.615;41.154;39.154;43.846;41.846;42.385;43.000;44.615;39.846;42.385;43.308;40.538;38.000;42.538;41.615;41.615;44.538;43.308;42.923;42.385;41.385;42.846;41.846;41.615;46.308;40.308;42.000;44.154;44.154;42.769;43.385;40.385;44.385;42.769;41.923;41.154;41.538;43.000;42.923;43.462;41.692;42.692;41.923;42.846;40.769;45.154;41.692;41.077;43.769;42.692;42.615;42.769;43.308;43.385;44.231;40.385;43.308;43.077;43.846;42.308;46.308;42.923;41.692;42.462;41.231;42.846;43.538;44.692;43.692;42.462;45.154;39.769;41.846;42.308;43.462;40.077;43.615;45.000;43.077;43.231;42.308;40.769;42.154;40.154;39.769;45.385;42.154
KNN;42.538;43.769;42.385;43.692;44.077;41.769;44.000;41.538;42.615;43.769;43.769;44.385;43.231;42.846;42.538;39.231;43.154;42.462;43.308;42.615;43.231;38.385;42.462;43.308;41.846;42.231;43.462;42.615;41.154;45.385;42.692;43.692;40.846;44.077;41.846;44.000;42.769;44.000;42.615;41.615;44.154;44.923;43.077;43.000;44.077;41.769;44.000;39.769;43.846;43.000;44.538;43.846;42.154;41.692;41.385;40.846;43.308;41.462;43.846;43.615;41.154;41.846;41.385;43.231;42.385;43.077;42.000;43.846;41.769;41.923;45.000;43.308;44.462;43.154;43.538;43.308;43.615;42.231;44.154;47.154;43.846;43.769;44.462;43.846;42.769;43.462;43.231;42.462;42.077;42.769;44.308;41.231;43.923;44.077;42.000;45.615;44.385;43.846;43.615;44.923
GNB;79.231;80.923;77.769;78.385;77.077;76.923;77.154;78.769;77.385;77.538;78.923;77.462;77.538;77.615;77.308;74.308;80.692;77.077;76.615;79.077;79.692;77.462;76.538;77.769;76.538;77.462;76.077;77.077;77.769;79.615;78.385;76.385;78.462;76.615;78.923;79.769;78.846;77.462;78.231;77.154;80.231;77.077;78.692;78.000;77.385;77.154;77.846;78.000;77.923;77.231;80.154;76.000;76.769;77.077;77.846;77.462;77.615;75.385;79.000;78.846;76.385;80.077;76.923;80.000;79.077;78.923;79.538;79.231;77.923;78.077;77.154;77.615;77.923;78.154;79.538;79.308;78.615;80.692;77.615;78.231;78.538;77.385;78.000;78.538;77.846;79.462;77.077;77.000;80.538;79.615;80.769;79.769;78.538;77.769;76.615;78.769;78.308;78.923;79.923;79.923
SVM;1.846;1.846;2.385;2.231;3.308;2.692;1.308;4.308;3.154;2.154;3.231;2.308;2.462;2.846;2.769;2.154;2.000;2.154;3.077;3.462;2.385;2.385;2.308;3.000;2.462;2.308;3.000;3.462;2.308;2.308;2.615;3.000;2.846;2.923;2.769;3.385;2.308;1.615;2.154;2.692;2.538;3.385;1.615;3.308;2.538;2.769;3.154;2.462;4.077;2.692;3.077;2.769;2.769;2.692;3.385;2.615;1.769;3.077;4.000;2.615;1.846;2.692;2.538;2.769;3.308;3.923;2.615;2.077;3.231;3.000;4.000;3.385;2.692;3.385;2.846;2.769;3.077;4.615;2.231;2.231;2.846;3.769;2.615;3.231;3.231;1.692;3.769;3.077;2.692;1.538;1.154;2.154;3.615;2.769;2.077;3.615;2.231;2.846;2.769;1.615
bior1.3
RFC;42.154;41.615;43.846;44.846;41.615;42.538;41.538;41.692;43.154;41.846;45.385;43.615;41.385;44.846;42.231;43.000;44.923;43.308;41.692;44.462;43.000;42.538;42.077;40.154;41.923;40.308;42.077;43.000;43.462;39.538;43.692;41.846;43.385;43.000;42.769;45.769;43.923;42.231;42.615;44.077;46.231;44.000;42.923;43.846;43.615;42.769;42.462;43.000;41.231;42.462;43.077;44.462;41.154;40.769;44.615;42.154;42.231;39.846;43.538;42.923;42.769;45.154;45.077;44.000;42.692;42.538;44.077;42.538;40.000;43.615;42.538;45.846;42.308;41.385;43.231;43.154;44.692;43.077;42.846;43.000;42.231;41.846;43.154;42.923;41.462;40.385;42.923;42.308;43.308;41.846;44.769;42.462;40.615;40.846;42.385;44.385;42.385;43.000;42.538;45.077
KNN;43.462;43.154;42.462;44.154;44.692;42.000;43.538;41.923;43.308;44.615;44.000;45.077;43.154;43.000;43.077;40.462;43.615;42.846;42.462;42.615;44.538;39.154;42.846;43.077;43.385;43.308;43.154;43.154;41.769;45.538;42.923;43.769;41.923;44.462;42.462;43.846;43.231;44.308;42.923;41.769;44.462;45.923;44.154;43.538;43.692;42.538;44.231;40.308;44.154;43.077;44.385;43.385;42.154;42.000;41.615;40.923;43.231;42.385;43.846;43.846;42.000;41.462;42.000;42.846;41.846;43.231;42.462;44.923;41.846;42.923;44.538;43.462;44.846;44.000;44.692;42.923;43.923;41.846;44.231;47.154;43.154;43.462;45.077;44.308;42.385;44.385;43.769;42.769;41.692;42.615;45.000;42.231;44.077;44.077;42.308;45.846;44.769;44.000;43.846;45.231
GNB;78.308;80.692;77.538;79.923;77.923;76.769;78.615;79.154;77.692;77.385;79.692;79.692;77.769;78.000;79.462;75.000;81.000;78.000;76.692;79.231;79.923;75.385;78.538;76.692;76.923;78.077;77.077;77.385;77.923;77.462;79.846;77.538;79.000;76.000;79.077;78.692;79.923;77.231;78.000;76.385;80.231;77.154;79.692;78.231;77.462;77.846;78.615;76.231;78.077;76.769;79.692;78.462;78.692;78.000;78.077;78.308;77.923;75.231;79.538;79.308;77.846;81.308;76.846;78.538;78.308;80.385;79.846;79.615;76.308;77.769;78.615;76.462;78.923;77.923;80.154;78.000;79.000;79.385;77.846;78.000;77.846;78.231;79.615;79.231;79.231;79.077;79.077;77.231;81.538;79.385;82.000;78.923;78.385;77.231;77.231;79.077;78.231;80.154;79.538;78.538
SVM;4.769;3.154;2.308;3.462;2.154;2.462;2.692;3.308;3.615;3.154;1.846;3.846;3.538;1.538;2.000;2.769;3.308;2.000;2.769;2.769;2.692;3.615;2.385;2.385;2.154;2.231;2.231;2.077;2.615;2.538;2.385;3.077;2.846;2.385;2.769;2.308;2.308;3.154;2.308;2.846;3.692;2.462;2.462;2.308;4.000;2.692;2.231;3.000;2.308;3.769;3.000;2.308;1.692;3.462;2.385;3.462;3.000;2.231;2.615;3.308;1.462;2.538;1.000;1.615;1.692;4.000;2.077;3.231;2.462;2.308;1.923;3.538;3.385;3.385;2.000;1.769;2.231;3.154;2.692;3.077;2.769;2.538;3.000;2.308;2.538;2.308;3.462;2.385;3.615;2.000;2.615;2.769;2.154;1.923;2.077;2.538;3.615;2.923;2.615;2.154
bior1.5
