bior1.1
RFC;77.222;77.639;77.222;73.472;75.972;74.306;73.333;74.722;76.944;75.278;76.528;75.278;72.222;72.361;73.750;73.611;74.861;72.778;73.889;74.306;73.194;73.472;74.028;77.778;76.528;75.694;73.611;71.944;73.472;71.944;75.694;74.167;72.778;75.000;71.111;75.000;75.833;74.722;74.028;71.944;73.056;71.528;74.583;75.139;72.917;76.389;73.889;74.861;76.528;74.861;71.944;74.444;70.000;73.333;74.028;73.611;78.056;72.917;75.417;75.139;72.361;74.583;72.917;75.417;74.861;74.306;74.583;73.056;74.583;75.000;77.083;72.500;73.333;75.694;72.222;76.944;76.389;76.806;74.861;72.778;74.583;72.639;73.333;74.722;73.750;76.528;74.306;74.306;73.889;74.583;75.556;76.806;74.583;75.833;71.250;73.889;75.694;71.944;73.333;75.139
KNN;89.167;87.917;86.806;87.222;88.750;85.000;86.806;86.111;88.056;87.639;88.056;85.833;86.389;84.722;88.472;85.972;87.778;85.278;85.278;85.139;87.500;85.972;85.417;85.417;88.750;87.222;86.806;86.250;86.111;85.694;87.639;86.389;87.361;87.917;85.278;86.667;86.111;86.250;86.250;87.222;86.806;84.722;88.056;85.139;85.694;88.611;86.806;85.417;86.111;87.361;85.694;85.417;84.444;86.528;87.500;85.278;88.611;85.972;86.944;87.222;86.111;87.778;85.000;87.639;85.833;85.833;86.528;84.722;85.833;86.806;87.361;85.278;88.750;88.333;85.139;87.639;87.778;88.750;88.333;84.444;86.667;86.389;86.389;87.222;85.556;88.889;86.389;85.972;86.944;86.528;88.472;86.806;86.806;88.750;85.972;84.861;87.222;86.389;85.139;87.917
GNB;79.583;80.000;81.528;80.278;81.528;76.806;79.722;77.639;80.694;79.722;81.528;75.972;78.889;77.778;79.028;78.333;81.806;77.500;77.083;79.306;78.611;75.000;75.694;79.861;82.917;80.972;76.389;77.222;78.194;75.972;78.194;79.306;79.167;77.500;78.611;78.194;77.639;79.028;77.083;75.278;77.083;75.833;79.722;79.722;79.444;80.694;78.194;80.139;79.028;79.167;76.944;77.778;74.583;76.528;79.306;75.417;80.139;78.889;79.722;79.583;76.389;81.528;77.222;77.917;79.167;78.889;76.250;76.944;80.694;79.444;80.833;79.167;78.611;78.056;75.972;78.750;80.972;80.000;79.306;75.833;77.917;80.972;76.667;81.528;78.194;80.833;78.750;80.278;79.583;76.250;81.111;80.833;77.222;78.472;77.778;78.472;77.083;76.111;76.528;79.583
SVM;7.917;5.694;5.556;5.972;7.083;4.167;3.611;5.278;4.167;3.750;2.222;7.639;4.583;5.694;0.972;3.750;6.250;4.861;3.889;5.556;8.056;5.417;4.028;4.306;5.556;3.611;3.056;5.278;6.250;5.694;5.972;3.750;4.028;1.528;5.000;3.056;4.028;3.056;5.417;4.861;5.694;5.139;4.444;2.917;3.194;4.306;6.389;5.278;4.861;4.722;6.528;3.333;1.806;8.889;6.944;3.889;4.028;3.611;5.833;6.667;5.972;3.333;3.194;4.028;7.083;3.611;5.417;3.611;7.917;4.861;4.028;4.028;6.389;8.333;2.917;4.306;6.111;3.333;5.556;4.583;2.222;4.444;3.611;2.361;4.028;3.472;2.361;3.889;4.306;2.639;3.056;4.861;4.722;7.500;8.194;2.222;5.833;5.694;4.722;5.556
bior1.3
RFC;75.694;73.611;74.722;73.333;76.944;72.222;72.361;74.444;77.361;72.917;76.250;74.861;75.000;73.333;74.722;73.889;76.250;73.472;74.306;73.750;75.000;72.083;71.944;74.167;73.194;74.583;77.222;72.222;75.972;72.500;73.194;71.806;74.028;74.444;72.917;75.556;73.333;73.056;71.806;75.139;75.278;73.056;75.556;75.139;73.750;74.444;73.750;72.083;75.278;72.639;72.083;73.472;72.639;72.500;76.944;72.500;77.778;76.250;75.417;76.528;75.694;74.444;73.611;75.139;76.528;74.306;74.167;72.639;75.139;74.306;74.306;71.528;75.972;75.000;70.694;75.278;76.528;76.667;75.139;73.889;73.333;75.694;72.500;74.722;74.444;76.667;75.556;72.917;74.583;73.889;73.333;74.167;73.750;74.583;74.583;73.333;73.333;73.472;75.278;73.611
KNN;89.167;88.056;87.222;87.361;88.750;85.139;87.361;86.389;88.611;87.917;87.500;85.972;87.083;85.556;88.194;86.806;88.333;85.556;85.694;85.833;87.361;86.111;85.694;85.833;89.444;87.222;86.806;86.806;86.111;85.833;87.500;86.528;87.639;88.194;86.250;87.222;87.083;86.944;86.111;87.778;86.944;85.000;89.028;85.278;85.972;88.194;87.361;85.833;86.806;87.917;85.694;85.139;83.889;86.389;88.194;85.694;88.333;86.389;87.500;87.639;85.833;87.917;85.556;87.778;85.556;86.389;86.111;84.444;86.250;87.361;87.500;85.833;88.472;88.194;85.278;87.361;88.194;88.611;89.306;85.417;86.944;86.528;86.944;87.500;85.417;89.167;87.083;86.944;87.222;86.667;88.750;87.083;86.944;88.611;86.528;85.556;88.194;86.667;85.000;87.917
GNB;79.167;80.278;81.528;78.611;80.278;75.556;80.556;76.944;80.417;80.000;79.444;77.222;78.889;78.472;80.278;77.778;80.278;76.528;77.500;80.972;77.500;77.222;77.222;78.333;81.806;79.583;75.000;76.944;78.889;75.972;78.194;78.194;80.417;79.167;78.333;78.056;77.083;78.333;77.083;76.806;79.306;75.278;78.611;80.972;79.306;80.417;76.667;80.833;79.583;79.861;77.917;77.500;74.444;77.778;78.056;75.556;81.806;78.750;77.639;80.000;76.944;81.250;78.750;79.167;78.056;78.056;78.194;78.194;80.417;79.444;79.861;78.472;79.028;77.500;76.111;79.167;79.722;80.556;77.778;77.222;76.944;80.139;76.806;79.306;76.111;79.722;77.917;79.444;79.028;77.500;78.056;79.028;77.778;78.472;76.944;77.361;77.639;76.806;75.833;81.806
SVM;3.472;4.722;2.222;2.361;4.583;2.361;6.389;4.722;6.111;4.722;3.194;2.500;2.361;4.861;3.889;3.889;4.167;5.556;5.139;5.833;6.250;4.167;4.306;5.694;4.028;4.167;6.389;7.083;3.056;2.639;3.889;3.611;3.750;6.250;6.528;6.111;4.861;4.306;3.611;5.556;3.472;2.361;3.889;4.444;3.333;1.806;4.444;6.944;4.306;4.167;4.583;5.556;4.583;2.222;5.833;5.556;4.861;4.583;4.444;2.361;4.583;4.444;6.944;2.083;1.806;2.500;2.222;5.694;5.139;1.389;5.139;4.861;4.167;3.056;1.944;4.583;5.417;2.778;2.500;4.583;3.750;6.111;3.889;4.167;5.833;4.583;4.028;5.556;3.056;1.806;6.528;2.639;3.750;4.583;3.333;5.278;3.611;3.611;8.333;2.222
bior1.5
RFC;76.667;73.333;74.306;75.833;74.306;71.250;73.611;74.861;74.861;74.167;74.028;74.583;72.500;72.639;71.250;75.417;76.111;74.583;75.139;75.000;72.500;69.583;73.472;74.583;75.000;73.056;75.972;74.583;75.833;73.472;73.333;75.417;72.361;73.889;73.472;74.028;73.333;73.611;71.806;73.472;74.028;72.778;73.611;74.028;75.000;75.833;74.583;74.444;74.167;77.222;71.806;70.139;68.194;71.667;73.194;75.556;76.389;71.944;74.028;79.167;71.528;72.639;73.611;74.861;72.917;73.333;74.722;72.917;74.861;75.694;74.722;73.611;73.333;74.722;73.750;75.000;75.833;76.944;75.000;71.111;74.583;76.667;72.500;77.917;71.389;75.556;75.833;74.028;76.667;73.194;77.500;75.417;71.806;74.861;73.611;73.333;75.000;72.500;72.917;76.111
KNN;89.583;89.028;87.778;88.889;88.889;85.278;87.639;86.389;89.722;87.639;87.778;86.250;87.500;85.972;88.750;86.806;88.889;85.556;85.972;86.528;86.944;87.083;86.667;86.111;89.306;87.083;86.111;87.083;87.361;86.111;87.639;87.083;87.778;88.056;86.528;87.361;87.361;87.083;86.667;88.194;87.639;85.417;88.611;85.278;86.806;88.889;87.778;86.111;86.944;88.194;85.972;86.389;84.583;87.222;89.028;86.250;88.611;86.667;88.194;88.056;87.083;88.194;86.528;88.194;85.417;87.361;86.667;85.000;86.806;87.639;87.222;86.250;89.028;88.889;85.972;87.778;88.889;89.444;89.583;85.694;87.361;86.806;87.222;87.778;86.111;89.306;87.222;86.944;88.056;87.222;89.028;87.361;87.639;88.750;86.944;85.694;88.194;87.083;85.694;88.472
GNB;79.722;79.306;80.000;77.917;80.694;76.111;79.167;77.500;81.250;78.472;81.528;78.472;79.167;76.528;79.444;76.806;81.389;77.500;79.028;80.833;77.222;74.306;77.222;79.167;81.528;81.667;75.556;77.222;79.722;76.111;77.917;76.389;78.889;79.861;77.917;78.333;77.778;79.306;77.639;76.806;78.611;75.139;77.361;80.417;78.889;81.389;75.972;80.833;79.444;80.833;77.361;79.028;77.222;78.750;80.694;74.722;80.139;79.306;78.472;78.472;77.500;81.944;77.083;79.583;77.500;79.167;77.500;78.333;80.000;79.306;79.722;79.861;78.611;77.083;75.556;78.750;80.139;79.028;78.194;76.111;78.194;81.111;77.083;80.000;78.333;80.833;79.167;78.889;79.306;78.750;78.472;80.000;75.556;78.889;78.472;78.194;77.222;77.639;74.444;80.833
SVM;2.639;4.861;4.722;3.611;2.222;4.861;3.611;3.472;5.278;1.806;3.194;3.750;3.194;6.528;5.139;4.444;5.972;4.722;3.472;3.611;5.833;5.556;1.528;4.028;6.806;5.417;2.361;6.944;4.444;5.972;5.417;3.333;2.222;4.444;3.472;3.611;3.333;3.611;5.417;2.222;5.417;7.917;4.583;2.361;5.972;3.611;3.611;5.556;4.167;2.778;4.583;6.111;5.972;4.028;3.889;3.611;5.556;5.000;3.750;6.389;7.917;2.500;6.111;3.750;2.778;4.722;4.306;0.972;9.167;3.889;5.139;2.500;4.861;5.278;1.944;7.361;3.889;3.750;4.167;4.583;5.278;2.917;3.472;5.694;2.639;4.028;2.222;2.917;6.250;4.861;3.194;5.833;4.306;3.056;5.694;2.083;4.167;4.028;3.611;5.556
bior2.2
RFC;74.583;76.667;74.028;73.056;73.750;71.528;75.000;71.389;75.972;71.806;75.000;71.806;74.306;73.472;74.028;71.389;74.444;72.917;76.250;74.444;73.333;70.972;70.972;72.361;74.444;76.667;72.500;75.694;73.333;73.056;74.722;75.417;72.500;74.028;71.806;74.583;73.056;74.306;71.250;72.361;74.306;70.000;75.278;73.889;75.000;76.528;71.806;75.417;70.694;75.139;70.694;75.694;69.444;74.722;74.167;71.944;74.028;73.611;75.278;73.889;69.028;76.806;74.167;75.278;72.500;73.611;76.111;72.500;75.139;75.000;74.583;72.917;76.111;74.861;75.278;73.333;72.639;73.889;73.750;74.306;75.694;75.833;73.750;75.556;73.750;77.639;74.861;72.500;75.833;74.306;75.278;73.750;72.083;75.278;72.917;73.611;73.750;73.611;72.083;74.722
KNN;88.750;87.917;86.944;87.083;88.889;84.444;86.944;85.833;88.472;88.056;87.361;85.278;86.389;85.417;87.639;86.111;87.778;85.556;85.139;85.556;86.944;86.111;85.278;85.417;88.750;87.083;86.250;86.389;85.972;85.139;86.944;86.389;87.083;87.500;85.833;86.667;85.833;86.806;85.833;87.361;86.389;84.583;88.472;84.583;85.417;88.056;86.806;85.278;86.389;87.778;85.694;85.000;83.611;86.250;87.778;85.556;87.639;86.111;87.361;87.500;85.833;87.639;84.583;87.361;85.139;86.111;85.833;83.889;85.556;86.389;86.944;85.417;87.778;87.500;85.139;86.944;88.056;88.333;88.889;84.583;86.389;86.667;86.806;87.083;84.861;88.889;86.667;86.250;86.806;86.528;88.194;86.944;86.528;88.750;86.389;85.278;87.778;85.556;84.722;87.639
