bior1.1
RFC;90.000;89.306;89.583;89.306;89.167;85.833;89.444;88.194;87.917;86.389;89.583;87.778;89.306;88.750;88.194;90.278;90.556;87.361;88.194;89.167;86.944;86.250;87.083;89.028;90.833;90.417;87.917;88.889;86.389;84.583;88.889;87.361;89.028;89.444;88.056;88.750;87.639;88.472;86.667;89.722;89.167;87.361;89.167;87.778;87.083;90.417;87.222;87.778;89.028;89.583;84.028;87.778;86.528;88.194;87.639;87.083;90.417;90.278;90.556;89.028;86.806;91.806;88.611;87.361;88.194;88.750;90.556;87.639;88.611;86.806;88.750;85.694;89.444;89.028;88.056;86.528;89.028;88.611;86.528;87.361;87.778;90.556;88.611;89.583;85.694;90.972;87.639;87.639;89.028;88.056;88.611;88.194;87.222;90.417;87.917;87.222;89.861;84.861;86.806;90.139
KNN;93.333;91.528;91.111;92.083;93.056;89.861;91.111;90.833;91.944;91.111;91.389;90.278;90.278;90.972;91.667;91.250;91.806;88.889;90.556;91.389;90.694;90.278;90.556;89.583;92.778;90.278;91.806;91.389;90.417;89.444;90.972;91.250;92.083;92.222;90.278;90.833;90.833;90.278;91.111;91.944;91.944;90.278;92.778;90.139;91.806;91.389;90.417;89.444;90.278;92.083;91.111;90.694;89.444;91.111;90.833;92.083;92.361;90.278;91.250;92.083;89.583;92.222;89.861;91.250;89.306;90.556;90.417;89.167;91.944;91.389;90.556;89.861;91.667;92.361;89.306;91.250;92.639;92.639;92.083;88.889;90.417;90.417;91.111;91.528;90.139;91.250;90.694;91.111;91.389;89.444;91.944;91.667;90.694;92.917;90.417;91.250;91.528;91.528;89.306;91.806
GNB;85.417;87.083;87.917;85.417;89.028;80.417;83.472;83.889;84.167;86.389;85.139;86.528;84.861;83.750;86.806;87.083;84.583;82.917;82.083;88.333;86.667;83.194;82.361;85.833;86.944;88.194;84.444;84.861;85.556;82.917;84.306;84.722;87.639;86.389;85.278;87.361;84.444;84.861;84.444;86.389;85.278;82.222;87.361;85.139;85.000;84.722;83.611;86.667;85.000;85.417;83.333;85.833;82.500;83.333;86.250;84.028;87.361;86.944;86.111;85.000;82.222;87.778;84.861;85.972;84.861;84.444;85.556;84.583;85.833;85.417;87.500;85.972;84.722;86.528;86.528;84.306;86.111;87.917;82.639;84.028;84.028;87.361;85.000;87.083;82.222;85.417;84.444;86.389;87.083;85.000;85.417;86.389;84.861;86.250;86.250;84.722;86.250;85.694;85.278;87.083
SVM;84.444;84.167;85.278;85.694;86.528;80.694;83.472;83.472;86.389;84.583;81.944;81.528;84.306;82.500;85.278;85.278;84.722;83.472;83.750;84.028;81.944;82.500;83.194;80.556;85.000;85.139;85.000;81.667;84.444;82.500;84.861;84.583;84.722;84.306;83.611;79.583;82.083;82.083;83.750;84.722;83.611;82.222;85.556;82.917;82.778;84.028;85.000;81.806;83.889;86.111;84.028;86.111;79.861;86.389;84.861;83.333;85.694;85.694;84.583;85.000;80.833;83.472;83.472;83.750;82.917;79.444;83.889;82.917;81.944;81.389;86.111;84.028;82.361;85.000;82.778;84.861;85.556;85.417;85.833;83.611;84.861;84.861;84.444;84.861;81.667;87.083;84.861;79.306;86.250;85.000;81.806;83.889;83.194;85.833;84.444;82.639;84.306;83.056;83.889;85.833
bior1.3
RFC;88.611;89.167;88.611;89.028;89.583;87.222;87.778;87.083;88.056;89.028;88.056;87.917;88.056;88.472;89.306;89.444;88.333;86.806;90.000;88.611;87.917;88.056;88.472;88.333;88.750;88.889;89.444;89.028;88.611;86.250;88.194;87.361;86.389;90.000;89.722;89.861;87.500;88.611;87.917;89.167;88.333;88.056;89.306;88.056;88.194;90.000;87.917;86.944;88.750;90.417;87.083;88.333;87.778;88.333;88.889;85.556;88.472;86.389;87.639;89.167;86.528;89.722;87.222;87.917;89.028;87.639;89.861;86.111;88.750;88.889;88.611;87.222;90.833;88.472;87.917;87.778;88.194;90.833;88.333;86.389;89.583;89.861;86.528;89.028;87.083;90.417;86.944;89.722;88.194;86.528;86.944;89.583;87.083;90.833;86.806;85.694;90.278;87.083;88.333;89.444
KNN;92.500;91.528;91.528;91.806;91.806;89.583;90.833;90.972;92.917;92.361;90.556;90.139;90.417;91.250;92.778;90.833;92.361;89.028;90.556;92.639;91.667;89.722;90.417;90.556;92.917;91.250;91.389;89.444;91.667;89.861;91.389;90.694;91.667;91.806;90.556;91.944;91.806;90.278;90.694;90.833;90.694;90.556;91.944;90.139;92.083;91.667;89.722;89.722;91.667;91.944;91.111;91.250;87.639;92.083;90.694;91.250;92.778;89.722;92.778;93.194;90.694;91.806;91.111;90.417;90.139;90.833;89.861;89.444;91.389;91.389;90.000;90.833;91.250;92.639;90.417;91.111;92.222;92.222;92.500;89.722;91.250;90.417;90.417;90.972;90.278;92.778;90.556;90.000;93.056;90.694;92.083;92.500;90.833;93.056;92.083;89.722;91.806;92.222;88.056;92.222
GNB;84.306;86.389;88.611;86.944;87.083;82.222;84.861;85.278;83.889;86.250;85.972;86.944;85.139;84.167;86.944;86.389;84.444;83.750;83.750;88.056;88.889;82.778;83.611;85.833;88.056;89.306;85.972;84.306;86.944;83.472;83.472;85.833;89.444;85.278;84.861;88.194;85.417;85.417;85.278;87.917;88.056;83.889;87.639;87.083;86.806;85.694;84.722;86.250;85.278;87.222;83.472;85.139;83.333;84.861;86.806;84.167;89.028;85.833;86.111;85.694;84.444;88.472;85.972;85.833;85.694;85.833;84.722;84.861;86.944;87.500;87.361;86.806;85.972;86.667;86.528;84.722;85.139;87.639;84.167;83.056;84.722;85.556;84.444;87.083;82.639;85.833;85.000;85.694;86.944;85.417;86.389;86.389;86.806;85.694;85.556;85.694;86.806;87.361;85.139;85.694
SVM;86.111;85.972;86.667;86.806;87.500;85.417;84.028;87.222;87.083;85.417;86.250;83.194;86.250;84.306;87.500;86.111;86.528;86.528;86.250;86.944;85.139;85.278;83.056;84.583;87.083;86.111;88.056;85.139;87.500;84.861;86.806;85.278;86.944;85.556;86.528;87.917;80.694;84.167;86.667;86.528;85.556;83.472;84.167;85.278;86.111;86.111;85.972;85.556;85.833;86.806;85.972;85.833;83.472;85.139;83.750;84.444;83.333;86.111;85.139;86.667;82.778;85.278;85.833;85.417;82.917;84.861;85.278;85.833;83.194;85.694;85.417;85.694;86.528;87.639;84.583;86.667;86.667;86.528;84.167;86.944;86.667;87.222;87.083;79.583;83.611;88.750;86.806;85.833;88.194;86.389;87.639;86.389;85.139;88.750;87.639;85.139;86.389;84.722;85.139;86.806
bior2.2
