bior1.1
RFC;86.111;83.333;85.139;86.667;87.639;82.639;84.167;83.056;85.972;84.861;85.278;86.944;84.306;82.778;84.306;83.472;83.056;82.917;82.361;84.583;84.444;82.639;83.333;82.917;86.528;87.222;85.694;84.861;84.444;84.861;82.500;84.583;85.417;85.833;82.222;86.528;84.583;83.333;82.500;82.500;84.583;82.083;84.444;86.528;84.306;85.972;84.722;83.056;84.583;86.111;81.528;84.444;81.528;84.444;83.750;83.194;84.861;84.306;87.083;85.556;84.861;85.417;82.500;82.778;83.472;84.583;83.472;83.750;84.583;84.861;87.361;84.722;84.028;86.250;81.944;85.694;86.389;85.972;85.000;83.750;83.889;85.139;83.472;84.583;84.028;89.722;84.861;83.750;85.417;84.167;85.556;85.556;84.028;85.417;83.750;85.000;85.139;83.194;85.556;81.944
KNN;95.139;94.028;93.750;96.111;95.139;93.472;93.472;93.333;95.556;94.861;93.750;94.028;93.194;94.167;95.139;93.611;93.611;93.056;93.194;93.472;94.167;92.361;93.472;93.611;95.694;94.028;94.722;94.167;94.861;92.778;94.583;93.611;92.917;95.694;93.472;95.833;95.139;93.889;93.194;93.472;94.861;93.889;94.722;93.472;95.278;95.417;93.611;92.917;93.750;94.861;94.028;94.583;91.111;93.333;93.333;94.861;96.250;93.750;94.167;94.722;94.028;95.139;93.750;93.750;93.333;92.778;94.167;94.306;94.167;94.583;93.194;93.472;95.000;94.583;93.750;95.833;95.278;94.861;94.583;94.583;94.028;95.417;94.583;94.444;93.472;95.417;93.194;93.611;95.556;92.778;93.889;95.000;95.139;95.139;94.583;93.750;94.028;95.000;93.750;94.722
GNB;86.389;87.222;86.806;86.528;87.361;83.472;85.278;84.306;86.806;86.806;84.444;86.944;85.417;83.333;88.333;86.944;87.361;85.694;86.667;87.222;88.750;83.611;81.389;83.333;86.667;88.056;86.111;84.028;86.667;82.500;83.889;85.694;86.111;86.250;85.278;87.639;82.778;84.722;83.889;85.278;86.389;81.944;88.333;86.250;86.806;86.806;84.306;85.139;86.667;87.083;85.556;86.111;83.056;83.333;86.944;84.167;89.306;85.139;86.667;88.056;84.583;88.056;83.750;84.583;85.694;85.833;85.000;84.444;86.944;86.111;87.917;86.250;85.972;85.417;84.861;86.528;88.611;88.611;84.167;84.306;85.000;87.083;83.750;86.528;84.861;87.778;85.833;84.444;85.833;83.750;86.667;84.722;84.861;85.556;86.806;85.139;85.972;85.278;85.417;87.500
SVM;88.056;87.361;84.722;87.917;88.472;84.722;85.278;86.250;87.500;87.917;85.417;86.111;86.528;86.250;87.917;85.694;86.111;85.694;85.278;85.417;85.556;85.000;85.417;84.444;89.583;88.194;85.972;84.583;87.222;83.750;86.250;87.500;86.667;86.250;85.556;87.361;85.556;84.583;85.139;86.111;84.722;85.417;87.222;85.000;86.389;86.250;85.694;84.583;86.806;86.111;86.250;86.667;82.361;86.806;87.639;85.694;87.639;85.278;86.111;86.528;82.778;87.361;85.278;84.583;84.861;85.278;85.556;85.278;87.222;86.667;86.528;86.944;86.111;87.639;85.278;87.917;86.806;87.917;86.528;84.861;86.667;86.806;85.139;86.111;84.722;88.472;86.250;84.722;87.222;85.833;86.944;85.694;85.000;86.806;86.389;85.000;84.167;84.861;85.694;86.944
bior1.3
RFC;84.028;84.028;85.556;85.833;85.556;80.278;83.333;80.833;84.583;81.111;83.333;82.917;82.222;81.389;84.861;82.778;83.194;82.083;80.139;82.917;83.056;80.833;79.306;80.417;82.222;81.667;81.528;83.194;86.111;82.222;83.333;83.194;83.056;82.778;81.389;81.944;82.222;80.556;80.833;81.806;84.722;80.556;82.778;82.639;79.722;83.194;80.972;83.333;83.889;83.194;81.944;79.861;79.861;83.333;82.083;82.361;84.028;81.944;82.639;83.333;81.528;82.778;81.528;80.556;83.472;81.944;83.611;80.139;84.306;83.333;81.111;80.139;84.028;83.194;81.389;85.000;82.917;83.750;83.611;80.417;85.139;83.889;80.278;83.333;82.639;86.944;82.083;82.500;82.500;84.028;84.861;83.056;80.833;83.611;83.889;81.528;83.611;81.944;78.472;82.361
KNN;94.861;94.028;94.444;94.444;94.167;93.611;92.778;92.917;95.833;94.861;92.917;93.333;92.778;94.167;95.556;93.194;94.444;93.056;93.611;94.306;94.306;92.361;93.611;93.056;95.556;93.889;94.444;93.056;95.417;93.194;93.611;91.944;93.056;95.417;93.750;95.417;94.861;93.056;92.361;92.917;93.750;92.500;94.167;94.028;95.278;93.889;92.778;93.333;93.194;95.972;93.333;93.611;92.083;92.083;93.611;95.417;95.972;93.056;93.750;94.444;93.056;94.861;93.472;92.222;93.056;92.917;93.611;95.000;94.583;93.611;93.472;93.889;94.722;93.889;92.639;94.722;95.417;94.444;93.611;94.306;93.889;95.000;93.750;94.722;92.500;93.750;92.917;93.611;95.556;94.167;93.472;94.861;95.417;93.472;94.306;92.639;93.889;93.611;93.889;93.333
GNB;86.944;87.083;85.972;88.056;87.222;83.472;85.833;83.194;87.778;87.639;87.222;86.389;86.250;85.000;89.167;88.194;86.667;85.556;85.972;84.722;86.250;83.611;84.861;85.278;87.639;88.472;85.000;84.861;86.806;83.333;83.889;86.667;87.083;85.000;85.278;88.611;84.722;84.167;83.333;86.528;85.417;85.278;87.778;85.694;88.472;88.889;84.306;86.250;86.111;85.556;84.861;85.556;84.167;84.306;85.694;85.000;88.611;84.444;87.083;88.611;86.111;88.333;85.694;83.194;85.417;84.167;84.167;85.694;86.667;86.250;87.778;86.806;86.389;85.833;85.556;86.389;86.250;86.250;85.694;84.583;85.556;86.806;85.139;89.028;86.389;87.778;85.694;84.306;86.250;84.861;87.639;86.250;84.861;86.389;86.806;85.972;88.472;85.000;86.389;87.222
SVM;86.806;86.806;86.111;85.556;87.639;84.861;85.139;84.306;87.083;86.944;85.694;84.444;85.139;83.472;86.806;84.861;85.833;85.972;84.722;85.417;83.194;82.083;83.750;85.833;87.222;86.944;83.056;84.167;85.139;83.194;84.306;84.861;85.556;86.389;85.694;86.389;86.111;83.611;84.167;85.417;83.333;85.139;85.417;82.917;85.694;87.222;84.167;84.444;86.250;85.278;83.889;84.722;81.111;85.139;85.556;83.750;85.972;84.583;85.278;85.556;82.778;85.972;84.583;83.611;83.194;85.694;85.000;84.722;87.361;86.667;84.861;83.889;85.972;85.556;85.278;86.806;85.417;85.000;85.972;84.722;86.667;86.250;85.139;85.556;84.028;87.361;85.000;85.278;87.361;85.556;85.972;85.417;84.583;86.389;87.222;83.611;85.278;83.889;85.000;84.028
bior2.2
