bior1.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RFC;61.75;64.5;65.5;65;64.25;64.5;64.25;61.25;64.75;61.75;64;68.5;60.25;66;62.5;63;64.5;59;62.75;63;64;62.75;64;64.75;67.5;62.25;64.75;63.75;61.75;65.25;61.5;62.75;63.5;61.75;65.75;63;60.25;63;62.25;62.75;64.75;64;63.25;60.5;62.25;63.5;65;65.25;65.25;58;67;62.75;66.25;64.25;65.5;63.5;63.75;61;60.5;64.75;61.75;62;65.25;62;64.25;68.5;67.5;61.25;62.5;66.5;65.5;66.25;60.25;60.25;64.25;63.75;63;62.5;61.5;62.25;61;64.25;63;67;61.75;67.25;60.75;60;67.5;64.75;65.75;61;60.25;65;63.75;62.75;61.25;67.25;66;62.75
KNN;78.75;78.25;74.5;76;80.75;73.25;78.5;76.5;77.5;81.75;78.75;78.5;76.75;75.5;76.25;77.5;79.5;73.5;77.5;75;74.75;75.5;77.25;78;77;79;78.25;74;79.75;76;76;77.75;78;76;78.75;75;76.25;77.25;74.5;76.5;77.75;76.75;73.25;76;72;76.5;76;77;76.75;78.75;78;75.75;76.25;75;74.75;76;76.25;71.25;77.25;77.75;77.5;74.5;79.75;77.5;75.5;74.25;75.25;73.75;76.25;77.5;79;79;71.25;75.5;76;79.5;75.25;76.25;74.5;75;76.75;76;77;74.25;74;76;71.25;74.25;76.75;80.5;75.25;74.5;76;74.25;75.5;72.25;73.25;78.25;78;77.75
GNB;69;67.5;66.75;69.25;72;64.5;71.75;70;69.25;70.25;70.5;67.75;67;71;72.25;64.5;73.25;69.5;72;67.25;70.25;64.5;67;71.5;73.25;69.25;70.5;68;71.75;67.5;69.75;64.75;70.25;68;68.75;71;70.25;69.75;71.25;69.25;68.75;66.5;68.75;72.5;63.5;67.75;70.5;67;72.75;65.5;72;70.25;70.5;67.25;69.25;65.5;67.5;66.75;71.75;70.25;72.5;69.25;71.5;68.25;68.5;65.5;65.75;67.25;68.75;70;71.25;69;68.75;62.5;72.75;69;69.5;73.75;67.5;65.75;69.25;66.75;71;73;67;66.25;71;68.75;74;70.5;69.25;66.25;70.25;72;68.75;59.75;64.5;72.25;71;72.5
SVM;76.75;74.75;74.5;74.5;73.75;76.25;75;73.5;78.5;77.5;76;72.75;76;76;78.5;73.75;76.25;70.25;77.5;77;75;75;75.5;74;78.75;76;77;74.5;74;76.5;73;69;75.75;74.5;72.75;75.75;73;77;75.5;74.25;74.5;75;74;76;76;72.5;74.5;74;79.25;75.5;75.5;75;75.25;74.25;77.25;75.5;73.5;75;75.5;76;78.5;74;78.5;75.5;73.5;76.5;76.25;74.25;72.75;73.5;73;78;72;73.75;76.5;77.5;73.25;77.25;71.5;70.5;70.75;77;73.75;76.75;72.25;76.25;74.75;73.75;76;75.75;77.25;74;75;77.75;73.5;72.25;73.25;76.75;75.75;74.75
bior1.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RFC;65;64.5;65;65.25;71.75;63;69;66;64;68.75;65;67.25;64.75;62.75;65.75;62.5;66.5;66.25;70.25;65.25;63;64.75;64.5;66.5;67.5;67;65.75;61.25;66;64.75;66.75;68.25;64.25;62.5;61.5;66.5;58.25;62.5;66;65;65;62.5;65;64.5;60.25;65;66;64.75;66.5;63;64.5;63.5;63.5;64.75;61.5;63.25;63.5;64;68.5;63.5;66.75;58.5;66.25;63;67.5;67.25;65;61.25;66.75;62.5;71;66;62.75;64;66;64.75;66.25;65.5;63.5;64.25;62.5;63.75;66.25;66;61.75;69;61;67;63;66.75;64.75;63.75;67;62.5;67.75;58.75;60;66.75;68;62
KNN;79.25;78.5;74.75;77.25;80.5;74;77.5;74.75;76.75;78.5;77.5;77.75;76.25;75.75;78;76.25;80.75;71;76.75;75.75;77;77.75;76.5;77.25;78;77;81.5;72.5;79.75;74.25;78.25;77.5;75.75;78.25;78;73.75;77.75;75.5;73;76;78.5;78;74;78.5;72.75;75.75;75.75;76.5;76.5;76.75;76;79.25;76;76.25;74.25;73.75;77;76.5;77.5;79;78;74.25;78.25;76.75;74.75;75.5;79;76;78.5;77;78.25;77.75;72.75;73.25;75.75;77.75;76.5;76.5;74.75;73.25;76;75;79;74.75;74.75;77.25;71;74;77.5;80.5;77.75;74.25;77.75;77.25;77.25;71.75;74.25;79.25;76.5;79.5
GNB;70;67.5;66.5;69;73.75;69.75;72;72.25;69.25;72.75;71;70.25;67.5;73;74.75;67.5;76.75;71;73.75;68.5;67.5;65;68.25;72.75;72.5;71;71.25;69.75;69.25;70.75;68.75;67.5;69.75;67.25;70;72;72.25;68.5;70.25;68.75;69.25;68;69;73.75;64;66.75;69.25;67.25;72.5;68;71.75;69.75;72;66.5;70.25;67.75;70.25;68;73.25;69;73;69;69.5;69;69.75;63.5;65.25;69;69.25;67.75;71;69.25;67.75;64;73.75;70.25;66.5;70.75;65;66.5;71;66.25;71.5;71.5;65;68.25;66.75;70.5;73;71.25;71.25;66.5;70.5;71.5;70.75;65.75;63.75;71.5;71;74.5
SVM;78.25;75.75;75.5;73.25;76.25;77;73.25;74;79.25;78;72.75;75.75;76.25;74.5;78.75;74.25;76.5;74.5;77;75.5;78.5;75;74.25;73.5;79.25;76.75;76.25;74.25;74.5;72.75;75.25;72.5;75.75;74.5;74.25;76.25;73.5;76.5;75.25;75.75;74.25;76;75.5;75.25;76.25;73;74.5;74.5;77;74.25;76;75.5;75.25;74.25;75.75;73.25;74;74.75;75.75;78;77.25;75;79.25;75.5;73.5;76.25;75.5;73.5;74.5;74.25;71;75.5;75;72.75;77;77;75;76.75;73.5;73.5;70.5;75.5;74.25;76.75;72.5;76;76.75;74.25;78.25;76;76.75;71.25;77;78.75;74.75;72.5;72.75;77;75.25;74.25
bior1.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RFC;66;69.25;62.75;63;67.5;64.5;68.5;65;65;66.75;64;64.75;66.5;63.25;64.25;66.25;69;66.25;67.75;61.5;64.5;66;61.5;65.75;68.5;68;65.25;59.5;63.75;68.25;63.5;67.25;65;63.25;65.25;63.5;65.5;70.75;62.75;71;66.75;69.75;64;66.25;67;66;62.25;65.25;69.75;66;67;65.5;66.25;64.25;64.75;62.75;67.25;64.75;62.25;66;66.5;66.5;67.5;67;63;67;64.25;67.25;62.5;67.75;70.25;65.25;63;63.25;68.25;66.5;64.75;67;61.5;62;62.25;68.75;69;65;64;67;65;63.5;63.5;63.75;63.75;64.75;68;67.75;71;61;61.25;64.75;68;67
KNN;79;76;74;76.75;79.5;72;75;73.25;75;78.5;77.5;75.75;76.75;75;77;73;77.75;72.75;76;75.25;76.25;76.75;76;77;76.5;76.25;79.5;72;78.5;74;78.25;79;75;74.75;76.25;74.75;77;75.25;73.25;76.75;77.25;78.25;72.75;76;71.75;74.25;75.75;76.75;74.75;75.5;77;79.25;75;75.25;75;74;76.75;73.75;75.25;76.5;75.25;73.75;77.25;76.25;75;74;78.25;75.75;75.25;75.5;77.75;77.5;69.25;71.5;75.5;76;75.25;76.25;72.5;73;76;76;78.75;74;73;78.5;69.75;73.5;77.25;79.5;76;73;77.5;74.75;77.5;71.75;74.25;79;75.5;78
GNB;73;68;70.25;69.5;72.75;71.25;75;73.75;70.25;73.75;71.75;71.25;70.75;74;72.25;68.75;75.75;70.5;74.25;70;70.5;66.5;68.25;73;73.25;72.25;73;68.75;70.75;69.5;73.25;69.75;72.25;67.25;72.5;72.75;73.5;70.75;70.75;69.5;70.75;68.25;69.75;74.25;63.25;67.75;69;71.75;75.5;69.5;69;71.25;73.25;69;71.5;70;72;69;71.75;71.75;73;69;72.25;69;73.25;65.75;68.75;67.5;70;70.5;72.75;69;70.5;68.25;74.5;74.75;68.5;72.25;67.25;69;70.75;67.5;73.5;73.25;66.75;70.25;69;68.75;73.25;71.75;72.5;68.75;71.25;71;70.75;66;67.25;71.5;71.25;74.75
SVM;76.5;76;76.25;74.25;76.5;76.5;74.25;73.25;76.5;76.75;74;74.5;76.75;73.5;77.25;72;76.25;72.5;75.25;76;77.75;74.25;74.25;74;78.5;77.5;76.75;72.25;74.75;71.25;73;71.5;75.25;73.5;73.5;75;76;76.75;73.5;74.5;73.75;76;76.5;75;73.5;71;73.25;73;78;74;75.75;76.5;73.5;73.25;75;73.5;75.25;74.25;75.5;77.5;77.75;72.5;77.5;73.25;74;75;75.75;73.75;75.75;74.75;70.5;77;74.25;72.75;76.75;77.25;74;75.75;73.25;72.75;71;76;74.25;75.25;70;76;75.75;74.5;79.25;76.75;78;71.25;76.5;78.75;74.75;71.25;70.75;77;72.5;74
bior2.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RFC;61;60.25;60.75;63;62.5;62.25;62.25;59;62.25;62.25;60.25;64.25;58;61;62.75;58.75;59.75;60.25;60.5;59.5;64.5;60;61.25;64;62.75;67.75;59.5;59.75;58;59.75;59.25;62;60;61.25;61;57;63;61.75;61.25;62.75;64;63.5;62.25;63.25;58.5;61;62.75;63.25;58.5;60;58.25;61.25;61;60.5;61.25;60;62;54.5;62.25;61.25;60;59.25;58.75;59;62.25;59.25;64.25;60.25;62;62.5;59.5;61.25;61;57.5;62.25;60.75;60;62.75;61.25;61.25;63.5;59.5;60;62;63.5;57.5;62.5;63.75;59.25;62.75;65.5;61.5;64.25;61.75;62.5;60.25;58;61.25;62.25;63.75
KNN;78.25;77.75;74.75;75.5;78.5;73.25;74.75;71.25;75.75;77;77.75;77;74.75;73.75;76.75;74.25;77.25;69.5;76.5;74.5;74.5;75.5;74.5;77.5;75.75;75.25;79.25;70.75;79.75;71.5;76.25;75;75.25;75.5;75.5;71;74.25;74.25;72.5;75.25;76;77.75;73.5;75;72.75;75;75;74.75;74.75;74.25;76.5;77;75;74;73.75;73;75;74.5;76;77.5;75.25;72.25;76.5;74.75;73.75;74;76.25;73.25;74.75;74.25;78.25;75.5;70;72;73.25;76;74.5;76.5;71.25;73.5;74.25;73.75;77;74.5;72.5;75.75;70;73.75;75;79;76.75;70.75;76;73;75.75;70;73;77;75.25;76.5
GNB;72;67.25;68.75;67.75;70;65;70.75;72;69;68;69;69.75;70;72.25;73.75;66.25;77;69.25;71.5;69;67.5;62.75;68;68;68;71;71;70.5;70.25;67.25;67;65.75;71;66.5;67.5;71;69.25;70;69.5;69;67.25;66.5;68;72.75;66.25;67.25;67.25;67.5;72.75;64.25;66.5;70.25;71;65;71.75;67.5;68;67.75;69.75;69.75;72.75;68;69.5;69.5;72.25;65;68;67.75;69.75;70;69.5;68;66.5;65.25;73.75;72.75;65.75;69.75;65.75;65.75;68.25;65.5;72.5;71.75;67.25;68.25;67.25;67.75;72.5;71;70;65.5;69.75;69.25;70.25;62.25;64.5;69.75;70.5;72.25
SVM;77.25;76.25;75;73.5;76.5;75.75;74;74;76.75;77;73.25;73.5;74;75.25;78;72;76.75;71.25;75;76.5;75.5;75.5;74.5;74.25;76.25;79;76;72.75;74.75;72.75;72.75;72.5;75;73.5;74;75.25;74;75.5;72.75;73.25;74.5;73.25;74.75;75.25;73.75;71.75;72.75;73;78.5;71.75;75;75.75;75.25;74.25;75.5;73.5;73.5;76;74.75;77.25;77;70.25;78.25;72;72.5;72.75;74.25;74.25;73;73;69.5;75;73;73.75;74.75;76.5;74.5;75.25;71.5;71.5;69.5;73.5;71.5;75;70.75;76.25;75.75;72.25;78;76;79;71.5;74;76.5;74.5;71.5;72.75;77;73;75
bior2.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RFC;55.5;62.75;61.5;62;64.5;59.75;62.25;57.25;60.25;58.75;60.75;66;62;60.75;66.75;53.75;63.5;62.25;66.5;61;56.5;65;64.5;62.75;64.25;61;62.75;60.25;61.75;63.75;58;61;61.25;60.75;59;61;61.25;60.25;57.75;62.75;62.75;61;61.75;57.25;60.25;58.5;65.25;60;63;59.75;61;62.25;61.25;57.75;60.75;60.25;62.75;61;62.75;66.25;63.25;57.5;62.5;61.75;59.75;63.5;62.25;65.5;63.25;58.25;62;60.25;55;60;61;63;61.75;60;58.75;58.25;62.75;62.75;62;62.25;56.5;61.5;57.5;58.75;65.5;63;55.5;65.25;62;66.5;63.75;59;59.25;61.5;60.25;63
KNN;77;75.75;74.25;74.25;79.25;71.5;74.25;72;74.5;77.25;75.25;74;75.75;74.5;76.75;72;75.5;70.25;74.5;74;74.25;76;74.5;76.25;76.5;74;79.5;70.75;77.75;71.75;77.5;76;73.5;74;74.75;72.5;74.5;74;73;74.75;76;76.5;71.5;75.25;70;74.5;73.75;74;74.5;73.5;77.75;77.75;75.5;74;74.25;73.75;74.5;72.25;75.25;76.75;73.75;72.5;75.75;73.5;72.5;73;75.75;74.75;74.25;75;74.75;75;68.5;70.75;73.75;74.25;73.75;76;72.5;72.25;73.25;74.5;76.75;73.25;71.25;75.75;68;72.25;76;78;75.75;71.75;75.75;72.75;75.25;69.75;72.75;76;74.75;77
GNB;72.75;69.25;69.75;69;71.75;69;73.25;73;71.5;70.75;70;69.25;69.5;73.5;72.5;67;78;71;74;68.25;66.25;66.5;67.25;70;73.25;70.5;72;68.75;71.75;69.25;71.5;67.75;70.25;66.75;70.5;73.5;74.75;69.75;71.5;70.25;68;69.25;71.25;74.25;64.75;68.25;69.75;70.75;74.75;69.5;67.75;71;73.75;68;72.75;67.25;69.75;68;70;71.75;72.75;69;72.75;70.25;69.75;68;70.5;70.5;72.5;68.75;71;68.75;67.25;64.5;75.25;72.75;65.75;69.25;65.25;69;69.75;68;72;72;65;70.5;68.75;70;74;71.25;72.75;68;71;72.75;71;65.25;65;70;70;73
SVM;75.25;75.75;76;71.5;75.25;73.75;73.5;71.25;75.25;73.5;73.5;73.75;74.5;71.75;76.5;73;75;72;74.5;73.75;74.5;74.75;72;73.5;75.5;76.25;75;72.75;75.25;72;72;71.25;73.75;72.25;71.5;74;73.25;73.5;72.75;73;73.5;73;74;74;73.5;71.75;75.5;71;76.75;72.5;73.25;75.25;72.75;72.75;74.75;70.25;73.5;74.75;73.75;76.5;75.25;70.75;75.5;71.75;73;72.5;74.75;72.25;73.5;73.5;69.75;74.25;72;71.25;75.5;76.25;73.5;75;72;70.75;68.75;74.25;68.75;73.75;70.25;74.75;75.5;73.25;75.75;74;75.25;71.75;75.75;75.75;74.25;71.5;71.25;75.5;71.25;73.75
bior2.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RFC;57;59.25;59.5;60.25;65.5;62.25;64.75;57;59.25;66.75;66.25;64;63.25;59.5;64.25;63;64.25;63.5;60.25;58.25;62.5;57.5;61.25;63.5;60.75;61.5;65;60.25;61.75;59.5;61;60;60.75;64.25;59.5;62;63.5;63.25;61.5;56.75;61.75;61.75;63.25;64.5;57.75;61;65.75;61.75;65.25;64;63.75;65.75;66;63.25;59.5;61.5;66;65.25;61.5;66.5;65.75;59.75;65.5;63.75;61.5;62.75;59.75;61;64.25;63;61;65.75;60.25;60.25;63.5;68;63.5;65.25;63.5;64;64;60.25;64.25;64.75;62.75;63.5;57.75;63.5;66;68.5;60.5;61.75;66.5;63.5;64.75;60;60.5;67.5;61.5;62.75
KNN;75.5;73.5;75.5;75.75;78;69;73;70.5;74.25;75.75;73.25;73.5;74.5;71.75;75.5;73.25;75.5;70.75;73.75;72.75;73.5;73.5;72.5;74.5;75.5;74.25;78.75;70.25;77.25;70.25;78.25;75.5;73;70.75;73.75;73;73.5;74;71.75;75;75.5;73.75;70.5;72.5;69.25;72.75;71.75;73.5;74;73;74.5;78.25;72.25;73.5;72;73.75;74.5;73.75;72.25;75.5;71.75;71.75;74.25;74.25;72.75;72;74.5;72.75;73;76.25;75.5;73.5;67.75;69.5;74;73.25;72.75;74.5;71.75;72.25;74.75;76;75.25;72.75;71.75;75;68;72.25;75;75.75;73;72;76.75;72;73.5;70;72.75;75.5;74.5;76.25
GNB;76;69.25;71.5;70.75;74.75;72;75.75;73.5;70.25;75.5;68.25;74.25;70.5;75;73.25;69;76.75;70.5;74;69.5;70.25;67.5;67.25;72.5;71.25;73.5;74.25;69.5;72.5;70.25;72.5;68.25;73;68;71.75;72.25;77.75;70.5;71.5;70;72.5;70;69;75.5;65.5;69.75;71.25;70.25;75;70.25;71.25;72.25;72.25;70.75;72;72.25;71.5;70.25;72.25;72.5;74;70.5;71.75;68.5;74.75;67;72.25;72.25;71.5;70.5;71.5;70;68.25;68;75.75;73.75;68;71;65.75;69.25;70.25;68;72.25;71.75;67.25;71.75;68.75;70.75;73;72.5;73.5;70;73.25;73.25;73;68.25;67;72.5;71;75.5
SVM;74;74.75;75;71;73.75;74;71;71.25;75.5;73.5;72;73;73.5;71.25;74;71.5;75.75;70.25;75.75;73.25;74.75;74.25;69.25;74;76.25;76.75;74;71.5;74.25;71.25;71.75;69.25;73.5;73.25;73;74;74;74.25;71.25;72.75;71;73.5;74;73.75;72.75;70.25;71.5;70.5;77.25;73.5;73.75;74.5;71.5;73.75;74.5;71.5;72.25;73.5;74.75;75.5;77;70.5;74;70.75;72.5;72;73.5;72.5;73;73;68;73.75;72.25;71;75.25;75.75;74;75.25;69.75;70;69.25;74.5;73.75;74.5;70.75;74;72.25;71.5;77.5;73;76.75;70.25;75;76.5;72.25;71.75;70.25;74.5;71.5;72.25
bior2.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RFC;59.25;59.5;61.75;63.25;63.75;60.25;65;62.25;63;60.5;63;58;62.5;59;63.75;61.75;62.75;57.75;59.25;64.75;64.25;59.5;64.5;59.5;60.5;60.75;62.5;63;60.75;63.25;64;61;60.75;63.25;58.75;61.25;61.5;59.75;61.25;62.5;63.25;61.75;59;63.75;60;61.5;62.5;59.25;61;64;60.25;64;66.5;59.5;59.75;60.5;56;65.25;57.25;59.25;62;58.5;62.75;63.5;63.5;61.5;61.25;64.5;63;62.25;61.5;64;59;61.75;59;64.25;60;60.75;58.75;59.25;65;62;65;63.5;62.25;60;58;61.25;69.5;67;61.5;58;66.75;62.5;61.25;58.25;57.75;62.75;61.75;62
KNN;74.75;71.75;73.25;74.5;74.25;69.5;72.75;70.5;72;73.75;74.5;71.75;72.25;70;73;73;72.5;68.25;73.75;71.75;73.75;73.25;72.25;73.5;73;70.5;76;69;76.25;70.25;75.75;73.25;69.75;70.25;73.75;71.25;73.25;71.75;70.25;72.75;73;72;68.5;72.25;67.75;71.75;71.75;72.75;73.75;69.5;71.75;74.75;71.75;72;71.25;72.5;74.5;71.25;71.75;73.5;70.5;70;73;74.25;72;72.25;73;70.75;72;73.25;73.25;71;67.5;70;73;73;71;73.75;70.75;69.5;73.5;74.5;74.5;71.25;69.75;75.75;68.25;70.75;74.75;76.75;71.75;71.25;75;71;70.75;69.75;72;74.75;70.75;74.75
GNB;73.75;68;70.5;70.5;73.75;69.25;74.5;73.5;70.25;73.25;69.25;70.75;70.75;72.75;71.75;69.25;76.5;71.5;73.75;69;66.75;67;67.5;70;70.5;72.75;73.75;72.25;69.75;66.25;71;71;72.25;67.25;70.5;72.5;75.5;71.75;69.5;70.5;69;68.75;69.5;74.75;64.75;69.25;70.25;69.5;76.25;71.75;70;71.75;71.75;69;71.75;71.5;71;69;71.25;72.25;74.25;70.5;73;67.5;74;67.75;69.75;71;70.5;69;71.5;70.25;69;65;74.5;75.25;67.5;71.25;65;67.5;70.5;68.5;73;72.25;67;70.75;67;69.75;71.75;72.75;71.25;68.25;70.75;71.75;73.5;66;68.75;71.75;70;75
SVM;74.5;74;74.5;72;70.75;72;72;70.75;73.75;73.5;69;73.25;72.25;71.5;74.25;71.25;73.5;71.25;75.75;72.5;72.5;73;68.25;73;74.75;74.75;71.5;70;71.75;71.5;70.75;71;72;71.75;73.25;71.25;72.5;73;72;71.25;70;72.25;71.5;75;70.25;69.5;71.5;70.25;73.75;71.75;72.5;73.25;71.5;70.75;71;72;71.5;71.25;72.75;73.25;75;70.25;75.25;71;68.75;73.25;73.5;71.25;70.75;70.5;69;73.5;70.25;68.75;74.5;75;69.5;73.5;69.25;67;68.25;70.75;72.25;71.5;65.25;74;72.25;70.25;74.75;70.5;74;69.5;73;75.25;71.75;69.75;69.75;76;71.5;72
bior3.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RFC;40.75;44.75;40.5;45.25;42.5;43;40.25;43;38.75;40.5;39.75;41.25;43.25;40.5;45;41;36.75;41.75;37.5;42;39.75;41.25;40.25;41.75;41.75;43;39;40.75;41;45.75;38.25;38;39.75;40.75;42.75;44;40.75;38.25;35.75;35.75;42;35.5;40.75;38.25;41.25;37.5;43.25;45.25;37.25;39.5;39.75;40.25;38.5;42;43.75;41.25;46;38.75;35.25;43.5;40;39.25;43.25;38.5;38.25;40.75;36.75;40.25;38.25;40.25;42;40;39.25;39.75;38.75;41.75;38.75;44.75;32.75;40.75;39.75;40.75;40.25;41;40.75;39;36.5;37.25;42.75;38.25;41.5;35.75;43;41.75;38.75;40.25;34.75;41.75;38.75;45.25
KNN;56.25;54.75;55.5;53.5;58.25;52.25;56.5;54.5;56.75;57.25;53.5;57;53;53.25;58.5;49.75;52;53;55.5;55.75;55.75;53.5;57.5;57;59.75;56.75;57;53.5;62.25;54.25;56.25;57.25;57.5;49.75;54.75;51.75;52.5;56.75;53;53;55;54.75;51.25;55;53;50.25;54.5;54;57.25;51;56;55;56.25;55;52.75;60.75;57.25;53;56.75;57.75;56;53.25;55.25;55;52.75;55.5;56.5;56;53;55.25;55;57;52.5;54;55.5;59;56.25;56.5;52.5;55.75;54.25;54;53.75;57.75;54.75;54.25;50.5;55.75;57;55.25;57;55.25;55.5;53.75;53.25;50;52.5;58;51.5;54.75
GNB;64.75;64.5;65.25;63.75;68;64;65.75;67.25;66;66;66;64;61;66.75;71.25;64;69.5;63.75;67.25;64;63.75;60.75;62.75;68.5;69;64.25;67.5;62.5;67.5;63;64;62.5;67.75;66.25;65;65.5;64.5;60;61.75;64.5;65.25;63.25;62;69;61.75;63.75;65.25;64.75;73.5;64.75;66.75;64.25;68;62.75;66.75;65.5;67.75;63.5;65;66;66.5;64.5;66;66.25;67.5;65.5;64.5;66.75;67.25;66.25;65;67;66;60;68;67.5;64.5;65.25;63.25;60.25;62.75;64.75;63.25;65;63;61.5;67.5;63;71.25;65;63.75;62.75;63.5;65.5;64.75;57.5;59.5;70.5;65;66.75
SVM;63.5;64;62.75;63;60.75;59.25;61.25;62.75;64.75;61;60.75;63.5;61.25;62.75;65.25;62;63.75;61.75;61.75;63.25;62.25;62.25;60;62;66.25;65.5;61;62.25;63.25;62.25;62.75;62;63.75;63.25;62.75;64.75;64;66;60.25;64.25;60.25;64;58.25;65.5;61.75;59.75;64.5;59;64.5;62.25;63.75;60;65;60.5;64.25;64.25;63.25;62.5;62.75;65.5;66.5;60;63.5;60;63.25;61;65.5;62.25;64.5;62;61;58.5;59.5;62.75;64;66.25;64;65.5;59.75;63.75;61;63.25;61.5;63.25;59;60.25;59.5;63.5;63;64.5;62.5;64.25;64.5;61;67;62.25;62.75;64.75;61.75;61.25
bior3.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RFC;50.75;52;50.25;47.5;51;46.75;51;54;53;50;51.75;50;50.5;48.25;47.75;51;53;51.75;50.75;49.5;55;52;50.75;49.25;51.25;52.75;51.25;46;51;53.25;45.75;51;53;50.75;50;47.5;50;52.25;49.75;51.5;47.25;51.5;49.75;51.25;48;49.5;47.25;45.75;50.75;49.75;50.5;49.75;54.25;51.25;50;50.75;50.75;46.25;51.5;51;49.75;51.25;55.5;50.75;49.75;50;51;49;49.25;51.75;51;48;51.75;48.5;55.5;50.75;47.5;53.75;49.25;48.25;49.25;50.75;53;54;49;52.25;47.75;46.5;52;50.75;50.5;48.5;47.5;47.25;49.75;45.75;46;51.75;50.25;48
KNN;67.75;67.25;66.75;66;68.75;65.25;67.75;63.75;66;68;66;64.75;65.5;63;67.5;62;65.25;61.5;66.25;65.25;65.25;64.75;63;67.5;69.5;64.25;70.25;62.5;70.25;64.5;66;66.25;64;63.75;67;63;64.5;67.25;62;64.75;68;68.5;63.5;68;64;63.75;64.75;66.25;67.5;66;66.5;66.5;68.25;65.5;65.25;66.75;65.75;65.75;66.5;68.25;65.5;64.5;69;65.75;66.25;66.5;66;63.75;63.75;69.75;68.25;67.5;61;63;63.75;68;65.75;66.75;62.5;64.5;64.5;66.25;63;66;62.5;69.75;60;62.5;64.5;68.75;66.25;60.25;67.5;64.5;67.25;61.75;65.5;68.5;62.75;67
