bior1.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RFC;53.75;55.75;54.75;57.75;53;54.25;62.5;55.25;54.5;54.5;54.25;53.5;53.75;55.75;54.5;58;57.25;50.25;52.25;52.75;56;55.75;53;49.75;55.75;57.5;56;51.25;50.75;54.5;54.5;54.5;51.5;57.75;57;54;51.25;53.25;54.75;55.5;58.25;52.5;55.5;56;55.25;56.25;56.25;51.75;57.5;55.75;55.5;54.75;52;56;52;54.25;53;54.25;52.25;59;54.75;54.75;57.5;55.75;50.5;50;53;53.5;53.25;51.25;54.25;54;50.25;54.5;53.75;59.75;50.75;55.5;52.75;57.75;55.75;57.25;57.5;54.75;54.5;55;54.25;59.25;54.5;56;53.25;51.5;52.75;52.75;54.5;55.5;50.75;54;51.25;56.75
KNN;83;80.75;80;80.25;82.5;78;80.5;76.75;82.25;79.5;80.75;81.5;80.5;81.5;82.25;80;80.25;75.5;79.5;78.75;79.25;79;79.5;80.5;82.5;84;83.25;78;82.75;78.75;78.5;78.5;82.25;82.25;77.75;80.75;79.25;81.75;78.5;77.5;78.75;79.75;77.25;79.75;77.5;82.5;80;79.75;83.5;80.75;81.75;80.5;84.25;80.5;80;78;79;79.5;80.75;79.25;80;75;84;81;77;77.75;78.75;76.5;79;80;80;80;78.5;81.25;80.5;81.5;78.25;79.5;78.75;78.75;81.25;81.75;81.5;81.5;78.25;80.5;78;77.75;82;80.5;79.5;78;80.5;82;79.25;80.25;79.25;81.5;79.25;81.25
GNB;74.5;77;71.75;75.25;74.5;77.25;77;69.75;73;78;75.25;75;72.75;73.5;78.5;74.5;75.5;75;71.25;73.75;73.25;71.5;76;75.5;76.5;76.5;77;75.25;77.75;74.75;73.25;69.5;71.75;75.75;77.75;73.75;71.75;77.5;73.75;75;72.25;72.5;71.5;77.25;72;73;73.5;70.75;74.75;76.5;75.5;70.25;77;71.5;72.25;72.5;73.25;74.5;78;73.5;74.25;69.75;77.5;75.5;74.25;76.75;77;73.5;72;72.75;74;74.25;73;70.75;76.75;76;72.5;76.5;73.25;69.75;72.75;73.25;74.75;75.75;72.25;71.75;73.5;76.5;75;73;75.5;72.25;74.75;76;72.25;69.5;68.5;75.75;78.5;76.5
SVM;68.5;67.75;69;68.5;67.75;65.75;72.5;65.5;73.25;69;70.5;70.75;66.25;71.25;71.75;66.5;71.25;64.25;67.25;69.75;69.25;65;67.25;68.75;71;67.75;68.25;68;68.75;69.5;65.5;64.25;66;67.75;68.75;71;68.25;67.5;69.5;67.75;68.25;65.5;65.5;70.25;66;68.25;68.25;69.25;72.5;68.25;70.5;64.5;68.25;66;69.75;66.75;69;67.25;71.5;68;72.5;63.5;72.5;66.75;69.75;66.75;65.5;65.25;70;65;65;71.25;65;65.25;70.5;72.5;66.25;70.25;67.25;65;67;67.75;68;72.25;66;70.25;67.5;69;67.75;68.25;67.75;66.5;69.25;71.25;65.75;63.75;64;68;69.5;68.75
bior1.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RFC;55.5;61.25;55;53.25;54;52.5;55;48.75;58.25;55.25;57.75;55;49;56.5;58;57.5;57;50.75;55.5;57.25;49.75;52;51.75;50.75;52;52.5;49.75;51;57.25;55.75;51.75;54.5;54;56;54.25;54.75;54.5;58;51.75;52.75;53.75;57.25;53.25;57.75;51;53.75;53.75;52.75;53.25;50;56.5;55.75;54.5;52.75;58.5;53;53.25;53.25;54;51.25;50.5;51.75;57.75;54.25;54;54.75;52.75;55;51.75;57;52.75;53;51.75;47.5;54.5;51.75;52.25;52.5;55;54.75;55;54.5;56;54.75;47.5;53.25;51.75;57.25;48.25;53.25;56.75;53.75;51;55.25;57.25;51.5;48.25;55.75;50.5;55
KNN;80.5;80.75;80.75;80;81.75;78.75;79.5;77.25;80.25;81.25;80.25;78;79;81.5;81.75;78;79.75;77.25;79.5;80;78.75;78.75;79.25;80.75;81.75;81.25;84.5;78.5;80.25;75.5;79.75;77;79.75;80.25;78.5;80.25;80.75;78;77.5;77;78.25;81.25;74.75;80.5;78.25;79.75;78;78.75;83;80.75;82.75;80;80.25;77.5;78.75;77.5;80.75;77.5;80.75;79.5;79.5;77;81.75;80.5;76.5;79.25;78;78;78;80.75;79.25;79;74.25;76.75;79.25;81.75;79;80;77.5;77;77.75;79.5;78.75;80.5;77.5;79;77.25;77.5;78;80.5;81.25;77.25;79.75;80;78.25;77;74.5;82.5;79.25;79
GNB;74.5;75.5;68.75;73;76.25;70.5;74.25;73;79.5;74;73;75;75;74.5;78;74.5;77.5;71.75;72.25;74;74.25;71.25;72.75;73.5;73;77;76.25;72;76.25;70.5;72;71;77;73.75;71.75;72.75;73.75;76.25;72.25;75;75;69.25;70.25;76.25;69.5;73.25;72.5;72.25;76.25;76.75;71.75;71.5;73.5;70.75;72.25;73.5;75;73.75;73.25;74;77;71.75;75.75;76.25;76;74;71.75;75;72.75;72;72.5;77.75;71.75;71.5;72;77.5;70;78;74.25;66.75;73.5;74.25;77.25;75.75;71.5;74.25;76.5;74.5;76.25;74.75;75.25;73.75;70;74.75;74.75;71.75;67;77;74.25;75.25
SVM;66.5;69;66.25;69.25;69;67.5;66.5;65.75;70.5;68;70.25;66.25;66.5;66.25;70.75;65.25;66.5;64.75;68.25;70.25;66.5;67.5;66.5;68.5;65.75;70;67.75;66.5;67.5;67;70;65.25;64.5;66;65;69.75;65;64.5;68.25;66;69.75;65.25;64.25;71;65.75;66.5;65.75;68;70.5;68;66;65.5;65.5;68.25;64.25;63.5;68;66.25;68.75;70.5;69;64.25;70;65.5;68.75;68.5;62.75;68.75;67.25;64.25;61.5;65.5;63.5;68.75;66.5;69.5;67.25;67.75;63.25;65;66.5;66;67.25;70.75;63.5;67.5;66;65;70;70.75;66.5;66;69.75;68.75;67.5;62;63.25;69.5;62.5;66.75
bior1.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
