bior1.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RFC;53.25;48;44.75;51.75;54.5;50.25;48.5;48.75;51.5;49.5;51.25;50;45;54.25;54.5;51.25;54;47.5;55.5;51.75;49.75;49;48.75;47.25;49.5;51.5;46.75;45;52.5;54.25;53.75;44.25;49.75;48;47;48;43.25;48;45.5;45.25;48.5;46.5;49.75;49.75;45.5;51.25;45.25;52.25;46.75;46;50.25;51.25;46.25;43.25;49.25;48;50.5;47.75;53;48;50.5;46;50.25;48.75;43.5;47.5;48;50.5;50;52;43.25;45.5;44.5;47.5;47.5;51;44;50.25;45;50;52.5;48.75;49.25;50.75;49.75;49.5;46.5;47;49;47.75;48.25;47.5;48.25;48;48.5;50.5;43.5;53.5;47.5;54
KNN;75;77.75;73.25;74.75;81;75.75;79.75;79.5;79.5;75.25;77.75;78.75;76.75;81;79.5;75.5;78.75;77.5;77.5;77.75;77.25;77;75.75;76;77.25;78.25;79.25;72.75;78.75;77.25;77.25;76;78.25;78.25;76.25;77;77.25;79.5;76;78;78;76;75;77.75;76.25;78;79.25;76.25;80.25;78.5;79.5;77.5;77.25;79;80.25;76;76.25;78;77.75;78;78.5;74.25;80.25;79.5;79.5;78.5;76.5;77;74;79.5;78.75;77.25;77.75;77;77.25;79.25;76.25;77;75.5;78;77;77;77.5;79;78.75;74.25;76.25;76.25;74;77;79.5;79.75;76.25;78.25;77.5;77.25;75.75;78.25;76.5;77.5
GNB;68.75;66.5;68;67;68.25;69.25;67;70;70;67.75;68;69.25;67;73.25;75.75;67.75;73.5;68.75;68.25;69.75;66.25;67;68.25;66.25;71;69.75;67;64.25;67;65.5;66.5;66.75;65.5;69.5;66.5;66.75;66.5;71;66.25;69;68.5;64;67.25;68.25;68.75;63;69.5;69.75;68.75;69.5;73.75;69;66.75;68.5;72;67.5;66.5;69;74;70;65.5;66;70.75;67.25;70.25;67.75;68;73;66.75;66.25;65;64.5;63.75;66;70.5;72;65.75;70.25;67;68.75;66.5;69.25;69.25;70.25;68.5;66.75;65.25;64.75;69.5;67.75;67.5;70.5;68;68;71;65.75;63.5;69;69.5;69.5
SVM;62.5;60.5;62.75;57.25;59.25;59.5;59.75;57.25;62.75;57;59.25;59.5;60;64;64.75;60;64;60.75;62.75;60.5;58;60;58.5;59.5;62.25;60;57;56.5;61.5;59.25;59.75;59.75;62;60.25;57.75;55.5;58.5;57.25;58.5;56.5;56;58.5;57.25;59.75;58;57.75;61;59;58.25;56.75;57;56;58.75;60.25;58.75;59.25;59;57;60.25;59.25;62;57.25;65;59;59.5;61.5;54.25;60.5;59;56.25;59;57.25;56.5;54;60.5;59.5;59.75;60;57;54.25;58;57.75;60.5;62.25;61.25;59.5;60.75;56;60.5;61.25;59.5;60;58.5;61.75;62.75;58.75;53.75;63.75;62.5;59.75
bior1.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RFC;44.5;45.5;36;36.75;43.75;43;45;46.5;43;42;42.25;42.5;45.5;44.75;43.75;44;43;43;38.25;39;40.5;38.25;41.75;38.5;45.25;39.5;41.25;41.25;40.25;44.25;34.25;40.5;48.5;41.75;41.5;43.25;41.25;42.5;40;41.25;36.75;41.75;39.75;42.5;43;41;43.75;38.75;45.75;41;40.75;42.75;36;38;41.25;44.25;40;43.75;40;37.25;41.75;38.25;42.5;42;41.25;41.5;44.5;44.25;40.5;41.25;44;41;43.25;39.25;41.25;44.5;41.5;43.75;40.5;37;42.25;45.25;40.75;44;46.5;44;41.5;43.5;43.25;41;40.25;43.25;47.5;41.25;44.5;44.25;41.25;46.75;46.25;45.25
KNN;74.5;74;71.25;71.75;74.75;75.5;77.75;74.75;78.5;73.75;73.75;77.5;73.5;77.25;79.25;73.5;77;76.25;76.25;73.5;73.5;74.75;76;74.25;75;78.75;77.5;71.25;77.25;77.5;72.75;71.25;75;79;75.5;73;75.5;79.25;73;73.75;76.25;73.75;70.75;76.75;73;72.75;76;73;76.75;78;73.75;75.25;74;72.25;75.75;75.5;75;74;76.25;74.5;75.25;68.25;77.5;76.75;73.5;75;76;75.5;71.5;76.75;74.75;74.5;76.25;72.25;75;76;73.75;78;71;74.75;75.25;75.5;76.75;76.25;74;74.75;73.5;74;75.5;76.25;76.75;79;77.25;75;77;75.5;73.25;76.5;79.25;78
GNB;65.5;63.25;60;62.5;65;66.5;67.25;64.75;67;61.75;65.75;70.5;66.25;64.75;69.5;63;70.5;63.5;66;63;61.25;63.5;64.25;65.5;65;70.5;62.75;61.25;63;66;66.5;62.25;64.25;67.75;63.5;63;63.75;67.25;60.5;63.5;65.5;63.25;62;67;61.75;62.75;67;59.75;61;67;65.75;65.25;58;66;62.25;60.75;65.25;63.5;66;60.25;60.75;61.25;71.25;66.25;62;64;64.75;65.75;60.75;60.75;64;65.25;62.25;62;62;67;58.75;68.5;61.75;57.75;62;66;67;64.5;62.25;63.25;62;62.25;65;64.75;62.5;65.75;65.25;62.25;65.25;61;62.75;64.25;64.25;65.5
SVM;59;56;57;54;57.5;60.75;59.5;58;59.25;53.25;60.25;56.75;56.75;58.5;56.25;56.5;62;57.25;60.25;58.5;57.25;55;59.5;56.5;58.75;62.25;56;56;58.5;63;58.25;54.25;55.75;56.75;60;57.75;57.5;57.5;59.5;54.25;58.75;56.25;55.5;61.75;56.25;55.25;58.75;56.75;57.25;59.25;55;56.25;56.75;56.25;56.25;57.5;58.75;54.5;57.75;56.75;58.75;53.5;61.75;54.75;58.5;57;57.25;59;55.25;56.75;60;59.5;55.25;54.25;58;59.75;56.25;57;55.5;54.5;54.25;56.75;59;62.25;58.5;61;56.25;55.25;60;59.5;61.25;57.75;57.25;59;59.75;54.75;54.75;62.75;60.5;58
bior1.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
