bior1.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RFC;55.5;56.75;51.25;55;53.5;52.5;53.25;54.75;51;56.75;53.5;49.25;55.75;53.75;55.75;54.75;54.75;52;60.5;55.25;54.75;54.25;51.5;54;54.25;54.75;55;53;58.5;55.25;51.75;52.25;50.75;53.5;52.75;50.5;49.75;52;55.5;55.5;59.25;51.75;48.5;55;49.5;52.5;52.5;52.75;54.75;51.75;52.25;45;49.25;51.5;51.25;56;55.25;49.75;51.25;54.5;52.25;54;55.75;48.5;51.5;55.25;53.75;49.25;53;54.75;51.5;53;50.25;52.75;51;49.5;50.5;54.5;50;54.75;50.5;55.25;56.25;52;54.75;52.75;53.5;54.75;57.5;52.25;56.5;56;52.25;52;54.25;54.75;50.25;53.5;50;57
KNN;79.5;78.75;76.25;78.5;81.25;78;82;81.25;77.25;81.75;79.75;78.25;80;79.75;79.75;76.5;80.75;77.25;78;78.25;77.5;77.25;80.5;79;81.25;80.5;80.25;78.5;80;76.5;79;78.5;78.25;80.5;80.25;77;79.25;80.25;77.75;79.25;80;78;78;82;75.25;79.25;79.5;78.75;80.75;78.25;81.5;79.25;80;78.75;78.25;79.25;79.25;75.5;79.25;79;82.75;78.5;78.75;79.25;75.5;76.5;82.25;77.5;80.25;79.5;82;81.5;79.25;77.25;78.75;81.75;76.75;80.75;75;80.5;78.75;78.75;82;79.25;79.25;81.5;76;76.75;79;83.75;79.25;76;81.5;79;80.25;76.75;77;81;77.75;79.25
GNB;69.75;65.5;65.5;63;68.25;63;67;65.75;65.5;67;65;63.25;68.5;64.75;67.25;64.75;67.25;65;66.75;64.25;62;64;64.5;65;66.75;66;64.5;63.5;68;66;63.75;63.25;65.75;66.5;67;66.75;63.75;65.5;67.5;68.25;64.5;63.5;63;65.25;64.25;64;64.5;63.75;70.75;64.75;69.75;61.5;69;68;66.5;66.25;64.5;67.25;67.75;67.75;68.5;65.5;66.5;63;64.25;64;66.75;68.5;68.25;68.25;65.5;64.25;62.5;62.5;65;67.5;64.5;70.75;62.5;67;69;66.25;70;71.25;65.25;68.75;66;65;66.75;66.25;66.75;64.75;67;63.75;63;62;63.75;69;64;68.75
SVM;2;1.75;4.25;3.5;5.75;7;5;2.75;3;3;3;7.75;4;5.25;4;3;5.5;1.5;4.25;4.75;8;7;5.5;3.25;3.25;6;2;4;3.75;6.5;4.25;5.25;3.25;2.25;3.75;6;5.75;2.25;8.5;4.25;4.25;5.5;5.5;6;3.5;4.25;6.5;5.75;4.25;3.25;4.25;3.75;2.5;7.5;4;4.5;5.25;5.75;6.75;6.5;6;1.75;4.75;4.25;4.5;3.25;5.5;5;3.5;3;6.25;5.75;6.5;3.25;5.5;3.5;4.75;8.5;2;3.75;5.5;4;5.25;9.25;3.75;4.75;9.5;3.5;1.25;5;4.25;9.75;4;6.5;6.75;6.5;6;4;5.75;4.75
bior3.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RFC;18.25;16.25;19.25;17.25;16.25;19.5;16;15;14.75;11;19.25;18.75;16;14;16;17;15.5;16.25;12.5;16.5;16.75;13.75;19;20;14.5;17.5;14.75;14.75;13.25;18.75;15.75;18.5;15.25;19;15;17;19;17;18.5;17.25;15.75;17.75;17.5;18;14.75;14.5;16.5;14.25;17.25;16.25;21;16;17;15.75;17;16.75;13.75;16.5;15.25;15;14.5;14.5;13.75;15.5;17.25;14.75;16;13.25;14.5;14.75;14.25;18.5;18.25;14.5;13.5;17;17.75;15.75;15.25;15.75;14.75;17.25;10.75;15.5;18.5;18;15.5;17.25;15.25;17;16;13.75;16.5;17.5;16.75;14.75;17;17.25;13.75;15.75
KNN;23.75;19.5;20;23;22.25;19.75;23.25;20.5;21.25;21.25;20.5;22.5;22.5;22.5;22.25;22.75;22.25;20.75;22;21;20.5;22.25;21.75;22.5;24;22.75;22.25;20;23.5;19.5;21.75;20.25;23.5;24.75;23.75;20.75;22;23.5;22.25;24.5;22.75;26.75;23;22.75;23.5;22;22.75;22.25;27;19.75;21.5;19;23.5;23;21.5;19.75;20.75;21.75;23.75;22.75;23.25;21.25;20.5;20.75;20.25;23.25;23.25;20;22;23;22.25;23;21.75;20.5;21.25;22.75;23;22;22.75;22;25.5;22.25;23.75;24.5;24.75;21.75;21.5;23.75;24.5;22;23.25;22.75;23.5;20.5;26.75;20;24;22.25;24.75;21.25
GNB;38.25;33.75;36;38.25;39.25;36.25;37.25;38.5;33.5;41.25;38.75;36;37.75;39;41.25;36.75;38.25;35.5;34;38.5;37;37;37.25;40.5;36.5;36.75;42;36.5;40.5;40.5;38;38.75;34;37.75;41;36.5;40;36.75;36.25;39.5;36.25;43.5;37;38.75;33.75;37.5;36.5;36.25;35.25;38.5;38.75;34.5;38.25;41;35.25;35.75;38.25;37.75;33.75;36.75;43.5;37.75;41.25;39;35.75;37.5;42;39.25;39.5;41.75;38.25;33.75;42;32;35.75;39.5;37.5;40.5;34.25;37.75;35.5;39.25;36.75;38;37.25;41.25;38.75;38.5;35.25;43;36;37.75;39;40.5;42.75;37;37.25;40.25;38.5;32.5
SVM;3.25;4.75;4.75;6.25;5.25;4.5;4.5;3.25;4.5;7;4.75;4.5;7;3.25;5.5;3.5;4.75;3.25;3.5;5;6.25;6.25;5.25;6.25;5;4.75;3.25;3.25;3;4.25;6.25;6.75;5.25;6.75;3.75;5.25;5;6.5;5.25;6;7.75;4.25;5.75;7.75;4.25;4.5;6.5;5.75;6.25;6.5;5.75;2.5;8.25;6.25;4.5;4.5;3.5;5.75;3.5;2.25;4.25;2.75;6.5;4.75;5;5.5;5.5;7.25;4.75;5;4;6.5;4.5;5;4.25;4.25;5.5;3;4;5.25;6.5;6.5;4.25;6.75;5;4.75;3.25;4.5;6.25;4.75;5.75;4.75;5;5.75;6.25;4.75;5.75;7.5;4.5;6.5
db1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RFC;52.25;56.75;53;54.5;53;46.75;54;54;53.75;52.25;54;55.25;52.25;52.5;52;53;49.75;50.75;52.25;55;53;53.25;51.75;51;56.5;53.5;55.25;48.75;58;56.75;53;53.25;51.75;51.25;52.5;53.5;54;55.25;53.25;54.5;52.25;50.25;53;53.75;50.5;54.75;54.5;50.75;53.25;52.25;57;51.25;49;49.25;51.75;56.25;54.25;51.75;53.25;52.25;54.5;53.25;52.5;52;53.5;51.75;52.75;52.75;55.25;54.25;48.5;50.75;48.75;50;50.5;55.25;49.25;55.75;51.75;48.25;50.25;55.25;49;52.5;56.75;55.75;50.5;51.75;56.25;53.5;50.25;51.25;51.25;51;52.75;49.25;49.75;54.25;50.75;55
KNN;79.5;78.75;76.25;78.5;81.25;78;82;81.25;77.25;81.75;79.75;78.25;80;79.75;79.75;76.5;80.75;77.25;78;78.25;77.5;77.25;80.5;79;81.25;80.5;80.25;78.5;80;76.5;79;78.5;78.25;80.5;80.25;77;79.25;80.25;77.75;79.25;80;78;78;82;75.25;79.25;79.5;78.75;80.75;78.25;81.5;79.25;80;78.75;78.25;79.25;79.25;75.5;79.25;79;82.75;78.5;78.75;79.25;75.5;76.5;82.25;77.5;80.25;79.5;82;81.5;79.25;77.25;78.75;81.75;76.75;80.75;75;80.5;78.75;78.75;82;79.25;79.25;81.5;76;76.75;79;83.75;79.25;76;81.5;79;80.25;76.75;77;81;77.75;79.25
GNB;69.75;65.5;65.5;63;68.25;63;67;65.75;65.5;67;65;63.25;68.5;64.75;67.25;64.75;67.25;65;66.75;64.25;62;64;64.5;65;66.75;66;64.5;63.5;68;66;63.75;63.25;65.75;66.5;67;66.75;63.75;65.5;67.5;68.25;64.5;63.5;63;65.25;64.25;64;64.5;63.75;70.75;64.75;69.75;61.5;69;68;66.5;66.25;64.5;67.25;67.75;67.75;68.5;65.5;66.5;63;64.25;64;66.75;68.5;68.25;68.25;65.5;64.25;62.5;62.5;65;67.5;64.5;70.75;62.5;67;69;66.25;70;71.25;65.25;68.75;66;65;66.75;66.25;66.75;64.75;67;63.75;63;62;63.75;69;64;68.75
SVM;2.5;4.5;4.75;5;5.75;3;4.25;5;5.25;7.5;5.5;6;7.75;5.25;4.25;4.5;4;7.25;6.25;4.25;1.75;3.5;5;3.5;3.25;8;4.75;5.25;4;6;3;2;3.75;2.5;3.25;2.5;2.75;3;4.5;5;3;3.25;3.25;5.5;4;5;4;4;3.5;5.75;7.5;4.5;4.75;3.25;4.5;7;2;1.75;4;9;4.5;7;4.25;4.5;7.75;4.75;5.25;4;5.5;4.75;5.25;3;3;5.5;4.25;2.75;5.5;3.5;5;4;4.25;5;6.5;6.25;4.5;6.5;5;6;2.5;4.25;5.75;5.25;7.5;4.5;4.25;5.25;2.75;4.75;3.5;8
db2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RFC;47;52.25;45.75;46.25;50.5;46.25;45;48.5;43.5;49.75;48;49.5;44.75;49.25;45.25;50.25;46.75;44.25;46;47.75;52;45.75;50.75;49.75;46.25;41.25;52;48.5;48;47.5;46.25;49.75;49.75;46.5;51.75;53;42;47.5;44;49;47;46.5;50.25;48.75;47;48.5;45.75;45.75;51.5;50.5;46.5;48.5;48;49.75;48.25;48.75;49.75;42.75;49;44.5;47.75;48.5;45.75;43.75;47.25;50.75;48.25;49;45.75;47.5;48.5;50.75;49.5;52.25;48.5;51.75;46.75;49.5;46.5;45.5;49.5;45.75;45.75;49.25;46;46.5;43.25;47.75;46.5;50.25;45.75;46.75;45;49.25;50.5;47.25;46.5;49;47.75;46
KNN;79.75;80;78.75;80;81.25;77.75;78.25;78;77;80;81.25;79.75;81.5;78.75;80.25;78.25;80;77.75;79;76.75;80.5;77.75;80;80.75;80;77.5;84.25;74.25;81.75;77.25;82;79.75;77.75;78.25;77;77;81.25;78.5;75.5;80;82.75;82.25;77.75;82.25;77.25;79;80.25;80.5;80.75;79.5;81;79.5;81.25;79.5;77.5;77.25;79.5;78;78;82.5;82;75.25;79.5;79.25;78.75;79;81.25;79;78.5;79;80.5;80.25;75.25;77.75;79.25;80;81;79.5;78;80.25;81.25;82;82.25;79.5;78.75;78.75;76;77.25;79.25;82.25;79;78.5;82.25;77.75;79.5;76.25;79.75;80.5;79.75;82.25
GNB;65;65.5;64;61.25;68.75;66;66;67;68.75;69.75;65.25;61.5;67.25;67;67;67.75;69.25;61.25;70.25;66;57.25;67.5;62.75;64.25;66.75;66.25;67.75;58.75;68.25;66;65.25;63;66.5;62.25;67.75;63;66.25;66;61.5;65.75;58;62.25;66;65.25;59.5;62;63.5;67.75;67;64.5;65.5;64.25;65.75;67.25;60.5;65;66.25;61.25;65.25;63;68;62.5;66;60.75;69;61.5;67.5;67.5;62.25;63;64.25;64.5;62.25;60;66.75;71.5;59.75;64.25;63.5;59.75;63.75;66.25;67.25;69.75;63.25;66;63;61;67;68.75;67.25;65.5;63;64.75;68;60.75;63.5;66.5;65.75;66
SVM;4;4.75;8.75;6;7.25;6.5;5.75;6.25;7.5;5;5;9;3.75;3.5;4.25;7.5;3.5;8.75;6.5;8.5;6.75;2.75;5.25;8.5;5.5;5.5;9.25;5.25;6;9;5.5;8.25;5.5;5.5;9.5;9.5;8;3;8;9;4.75;6.25;5;6.5;9.25;5.75;7;6.5;6;8.75;9.25;7.75;3.75;3.75;5.5;3.25;5;7;7.75;8.5;3.5;7.25;3.75;2;6.25;9;11.5;8;6.75;8;6.25;6;6;3.25;6.5;4.75;8.25;5;5.25;3.75;10.5;6.25;9.5;6.25;6.25;6.75;5;5.5;4.25;6.5;8;7.5;6;11.75;4.25;6.75;2.5;6.75;3.25;9
haar;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RFC;53.5;53.5;54.25;53;53.5;52.5;54.5;55.5;50.25;56;53;50.5;51.25;56;55;53.5;52.25;50.75;55.25;54.75;55.25;49.75;51.5;53.75;56;54.25;55.25;54.25;49.25;58.25;51.25;55.25;47.25;58;57.25;54.75;47.75;56.25;50.75;54.5;57.25;52;52.25;53;50;55;48.5;50;54.75;51.5;51;52.75;52.75;54.5;54;56.75;49;50.75;53;49.75;53.75;49.5;53.5;53.75;50.75;54.5;53.5;53.25;50.75;52.5;53.5;55;49.5;52.75;54.75;53.75;58.75;53.5;51.75;55.5;49.25;51.5;52.5;54.5;56;53.5;50.75;58.25;53.25;55;51.25;51;52.5;54.75;54.25;53.25;52.25;55.25;55.75;49.5
