bior1.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RFC;79.5;76;74.5;79.5;73;75;79;77;80.5;77.5;77;75;75.5;81.5;77.5;75.5;77;72;74.5;76.5;78;76.5;77.5;78.5;79.5;80;79.5;82;76.5;69;73.5;75.5;78;80.5;76;78.5;78.5;79.5;70.5;70.5;70.5;76;77.5;76.5;77;77.5;73.5;78.5;80;81;78.5;73;69;76;75.5;77;81.5;74;75.5;80;73;75;80;79;78.5;76.5;74.5;80.5;71;82;77.5;73;77;75;75.5;76.5;80.5;75;74.5;79.5;71;71.5;77;73.5;77;76;78;69.5;78;70.5;82.5;76;74.5;80;77;81;77;76.5;75;80
KNN;95.5;99;94.5;94;92;96.5;97;97;97.5;96;97;96.5;96;95;97;93.5;97;94;97;96.5;96;97;95;95.5;95;95;95;96.5;94;93;95.5;97;93.5;93.5;93.5;97.5;96.5;98;96.5;96;96.5;95.5;96.5;95;98;98.5;96;96;96.5;96.5;97;94.5;96;96;95;94;97;95;96;96.5;95;96;97;94.5;96.5;98.5;95.5;98;97.5;95;97.5;95.5;94.5;95.5;95;98;97.5;94;96;96;94.5;96.5;95.5;93.5;95.5;98;95;95;96;97;96;94.5;95;96.5;95.5;97.5;95;96.5;95.5;98
GNB;86;89;90.5;86;85.5;91.5;85.5;85.5;89.5;90;91.5;90;88.5;87;90;84;87.5;90;92;88;86.5;88;83;83.5;94;89.5;88.5;88;90.5;86;93;87.5;88;89.5;89;90.5;89;88;90;88.5;93;88.5;85;84.5;87;92;89;88.5;89.5;90.5;87.5;83;86.5;84;84;87.5;85;85;85;92.5;84.5;90.5;87.5;84.5;89;87;88.5;90.5;90;90;89;87;86.5;87.5;90;88.5;87.5;87.5;92;89.5;84;88;87.5;87.5;89.5;89;88.5;82.5;85.5;86;89;87;87;87.5;85;91;82.5;90.5;86;84.5
SVM;90.5;94;91;91.5;89.5;89;91;92.5;94.5;92;93;94.5;89.5;91.5;92;91.5;90.5;91;94.5;95.5;93.5;92;91.5;92.5;93.5;91;93;92.5;91;90.5;93.5;93;93;92.5;90;92;89.5;93.5;93;93.5;92;91;92.5;90.5;92;93.5;92;90.5;90.5;92;94;92.5;92;90.5;88.5;91;93.5;93;91;95;88;92.5;92.5;90;92;90.5;94;95;92.5;92.5;93;90;90;91;92;93;94;91;90.5;92.5;91;92;91;91;91.5;93;90;90.5;93.5;92;90.5;88;91.5;91;91.5;94;89;92;90;93.5
bior1.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RFC;77.5;76.5;76;73.5;72.5;76;72.5;72;80;77.5;74;75.5;79;81;76.5;76;74.5;76;86;80;77;74;73;76;70.5;77.5;81;76;77.5;75;75.5;78;72;76;78.5;79;81;81;75;81;73.5;77;75;72;71.5;85.5;75;78;78.5;73;78.5;74;68.5;83.5;74.5;77;75.5;75.5;80.5;76.5;75.5;78.5;79.5;74;73;74;76;79.5;73;81.5;82.5;72;72;76;75;73.5;78;74.5;84.5;75.5;78.5;72.5;76.5;77;81.5;72.5;76.5;78;75.5;73.5;78.5;73;76;81;72.5;74;69;76;74;77
KNN;96;98.5;96;93.5;92.5;96.5;96.5;97;97.5;97;97;96.5;96;94.5;97;95;96.5;94;97.5;97.5;97;97;94.5;96;95.5;96.5;95;96;94.5;94;96;96;93.5;94;93;97.5;97;98.5;96.5;95;97;95.5;97.5;96;97.5;99;97;96.5;96;96.5;97;95;96;95.5;94;94;97;96;96;96.5;95;96.5;97;98;97.5;98;95.5;98.5;97.5;95;97;95.5;95.5;96;97;98;97;95;97.5;95.5;95;98;95.5;94;95.5;98.5;94.5;94.5;95.5;97;96.5;95;95;97.5;96.5;97.5;94.5;96.5;96;97.5
GNB;90.5;89.5;87;86.5;89;88.5;88.5;86.5;89.5;92;90;91.5;90;90.5;89.5;87;84.5;90.5;92.5;87;88.5;87;86.5;87.5;90.5;87;87;91.5;90.5;86.5;93;90;89;89;90.5;87.5;91;90;90;86.5;92;88.5;86;83;87.5;91;90;91.5;87.5;90.5;85;84;90.5;84.5;86;91.5;89.5;88;86.5;90.5;85;93;86.5;89;87.5;87;88;88;88.5;90;93.5;87.5;88.5;85.5;90.5;90.5;92.5;90;94;92.5;84;89.5;90;87;88;88.5;88.5;84;85;84.5;90.5;85.5;85.5;86.5;84;92.5;84.5;86;87.5;85
SVM;91.5;94;92;91;89.5;90.5;93.5;92;92;92.5;92.5;94.5;92;92.5;93;92.5;90.5;92;96.5;95;92;91.5;92;92.5;92;91;94;92.5;92;90.5;91.5;92.5;94;93;91.5;91.5;91.5;94;94;92;92.5;93;93;89.5;92.5;94.5;93;92.5;91;92;94;93.5;92.5;92;89.5;92;93;94.5;91.5;95;88;94;91.5;92;90.5;92;92;95;94;92.5;92.5;90;90;93;92;94.5;93.5;90.5;91;92;91;92;90.5;92;91.5;92;90;91.5;92.5;92;92;88.5;91;92;91;95.5;90;92;91;92.5
bior1.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
