bior1.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RFC;67;68;72.5;60;74.5;67;72.5;65;73.5;67;69;65.5;71;68;71.5;68.5;65.5;72;69;69.5;64;73;64;69;65.5;64.5;73;73.5;71;68.5;62;74.5;69.5;68.5;74.5;63.5;70;66.5;68;65;72.5;67;66;63;64;74;66.5;65;70.5;70;64;72;62.5;69.5;64.5;69;69.5;71.5;78.5;70;65.5;75;65.5;66.5;68;66.5;66.5;70;68.5;66;74.5;70.5;65.5;69.5;78;67;71.5;65.5;72;70;67;62.5;68;71;63.5;65;60.5;64;70.5;73.5;65;66;67.5;72;66;68;59;69;70;73.5
KNN;94.5;96.5;96;90.5;93.5;95.5;94;97;97.5;94.5;92;95;92;95.5;99;93;94;91.5;95.5;94.5;92.5;94;95.5;93;94.5;92;93;94;94;92.5;96.5;92.5;95;94;92;91.5;94.5;97;94;92.5;96;94;90.5;89.5;96.5;96;95.5;94;95.5;95.5;95.5;94;95.5;92.5;92.5;94;96;95;94.5;96.5;92.5;96.5;97;93.5;93;94;95.5;98;93.5;94.5;96.5;92.5;94;94.5;94.5;95;93;93;96;93;94.5;97;92;94;94;94.5;93.5;93;95.5;95.5;92;92;89.5;94;93;97.5;94;92.5;96;95.5
GNB;84.5;80.5;80;80;77;87.5;86;85.5;88;82;86;84.5;81;86;87;74.5;84.5;83.5;88;82.5;82;82;86;86.5;86.5;80;87.5;84.5;85.5;83.5;79;90.5;79.5;85;80.5;81.5;83.5;82;83.5;87;86;83;83;78.5;85;82;81.5;77;87;88;83.5;82.5;80;80.5;77;81;81;80.5;80;82.5;76;86;87;81.5;81.5;81;90.5;85.5;80.5;81;86;87;83;86;88.5;81.5;84;85;88.5;82.5;84.5;82.5;83;81.5;85;84;84;86.5;83;85.5;81.5;86.5;83.5;82.5;77.5;84.5;83.5;83;83.5;85.5
SVM;38.5;32.5;29;34.5;23.5;32;34.5;32.5;40;30.5;24.5;37;35;31.5;32.5;30.5;26;27.5;39.5;29.5;25.5;31.5;27.5;32.5;30;27;31;27.5;36;28.5;35.5;33.5;32;37.5;34;24;33.5;28;33.5;26.5;34.5;26;33.5;37;33;26;35;33;25.5;27;32.5;29.5;30.5;28.5;35.5;24.5;29;29;27.5;34;24;33.5;36;37.5;29;33.5;30;27.5;28;26;31.5;33;33.5;28;21.5;30.5;33.5;34;20;33.5;27.5;33.5;27.5;30.5;26.5;36.5;30.5;24;40;36;29.5;39;36;43;22;28.5;34.5;30.5;33;37.5
bior1.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RFC;70.5;68.5;64;69.5;70.5;68.5;69;70.5;79;69.5;68;64;73.5;76;75;64.5;70.5;71;71;68;71.5;69;66;66;70.5;65;71;72;75.5;64;71.5;71;70.5;71.5;76;65.5;69.5;69.5;75;72.5;67;68.5;65;68;67;69;66.5;70.5;67;77;70.5;73;72;69;67;70;70;63.5;63;73;63.5;69.5;69.5;71.5;74.5;65.5;73.5;73;66.5;65;71.5;67.5;70;68;73;68.5;73.5;75;68.5;70.5;75.5;67.5;70;70;67.5;70.5;67.5;73;74.5;68.5;69.5;71;67;68.5;69.5;74.5;62;68;66;71.5
KNN;95.5;98;96;91;93.5;95.5;92.5;96.5;97.5;94;92.5;95;92.5;95.5;99;93.5;94;92;96.5;94.5;93.5;95;95.5;93.5;94.5;93;93.5;94;93.5;92.5;97;93;94.5;93.5;92;92;94.5;97.5;95;93.5;96.5;94.5;91;89;96.5;96;94;94;95.5;97;96.5;94;95.5;94;93.5;93.5;96;96.5;95;96.5;92.5;96.5;97;93.5;94.5;95;95.5;98.5;95;95.5;97.5;92.5;94;94.5;95;95;94;93.5;97;93;95;97.5;92.5;94.5;94;94.5;93.5;94;95.5;95;93;92;91;94.5;92;97.5;93.5;93.5;96.5;95.5
GNB;84.5;87;82;84.5;80;89;85.5;87.5;90.5;86.5;83;86;84;83;87.5;79.5;83;84;90.5;88.5;86.5;81;84.5;88;84.5;79;87;89.5;85.5;83.5;80.5;86;83;87.5;85;86;88;79;81.5;85.5;84;86.5;81.5;82;83;84;85.5;80;88.5;84.5;83.5;83;82.5;80.5;76;80;81.5;83;84.5;85;76.5;90;85.5;83.5;81.5;87;87;86.5;79;82;85.5;86.5;83.5;86.5;85.5;81.5;86;84;89;80;86.5;85;80;82;86;85;86;85.5;84.5;82.5;83.5;85.5;86;83;80.5;84.5;82;80;87.5;89
SVM;24;24;33;28.5;30;38.5;32.5;38;36;32.5;31;29.5;30.5;30.5;29.5;33.5;36.5;27;24.5;32;31;27;37.5;32.5;30.5;27.5;34.5;38;35;25.5;32.5;35;27;36;31;17.5;42.5;29;29;39;39;28.5;28.5;37;25.5;25;31.5;33;28;30;28;27;35.5;29;31;34;32;30.5;34;33.5;25;30.5;29;25;32;32.5;28;37;33;35.5;23.5;36;32.5;34.5;29;26.5;35.5;33;25.5;29.5;36.5;35;31;33;23.5;21.5;35.5;31.5;28.5;33.5;25;37;30.5;20.5;21;37.5;24.5;28;33;33.5
bior1.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
