bior1.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RFC;78.5;78.5;80.5;77.5;78;82.5;77.5;81.5;88;80.5;81.5;81.5;80;79;83;84;73;77;76.5;79;82.5;78;79;81;79.5;78.5;85.5;78.5;81.5;81.5;81.5;79;80;78.5;76.5;78.5;79;82;82;79.5;82;82;83;81;79;76;82;79;83;83.5;81.5;80;79.5;77.5;76;79;81;83.5;82;88;76.5;80;82;82;86;78;78;85;79;78.5;82;79;85.5;79;82.5;78.5;76.5;77.5;75;81.5;79;81;77;77;81.5;80.5;76.5;80;84;80;73.5;78;71.5;83.5;80;83;75;76.5;85.5;86.5
KNN;97;97.5;95;91.5;93.5;96;93;97;97.5;95;92;96;94.5;95.5;98.5;94.5;94;93.5;96.5;95;92.5;96;96;94;95;93.5;94;95;93.5;92;96.5;93.5;95.5;94.5;92;92.5;93.5;97;96;93;96;94.5;91.5;90;96.5;95.5;95;94.5;95.5;96.5;95.5;94;94.5;94;93;94.5;97;96;95.5;95;92.5;96.5;97.5;94;94;94.5;95;98;95;96;97;93;94;94.5;94;95;93.5;94.5;96.5;93.5;94.5;97;93;94.5;94.5;94.5;95;93;96.5;95.5;92.5;93.5;91.5;94;93.5;98;94.5;94;95.5;95.5
GNB;86.5;81.5;77;86;78;92;81;85;85.5;81;80;82.5;76.5;77.5;84;68.5;78;81.5;83.5;83;80;83;82.5;81;86;81.5;82;83.5;87.5;87.5;79.5;86;78;87;83;81.5;86.5;75.5;82.5;81.5;88;84.5;82;83;80.5;79;77;78;78.5;87;84.5;80;81.5;84;78;78.5;84.5;86;80.5;83;76;83.5;86.5;79;78.5;84;84;84.5;79.5;86.5;85;86.5;81.5;86.5;80.5;79.5;82.5;82;89.5;81.5;77.5;80;79.5;80;80;85.5;81;85;84;82.5;83;84;77;83;75.5;83.5;83;77.5;87;84
SVM;96.5;97;95.5;92;94;95;96;95.5;97.5;95;94;95;94.5;94.5;97.5;95.5;97;96.5;96;98;96.5;97;97.5;95;97.5;95;96.5;96.5;95;94;96.5;96.5;94.5;96;94.5;94.5;96;97;96;98;96.5;95;95.5;91.5;97;96.5;97;93.5;95;97.5;97;96.5;96.5;96.5;96;94;97;96.5;95.5;96;94;98;95;95;96.5;97;98;97;97;96.5;97;98;96;96.5;95;97;97;95;97.5;95;94.5;95.5;95.5;95.5;93.5;96;94.5;94.5;97.5;96;96;93;95.5;95.5;94;98.5;94;95.5;95.5;96.5
bior1.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RFC;78;80;81;84;78.5;84;82;81.5;85;80;76;82;82;80.5;82.5;74.5;76.5;80.5;82.5;79;74;81;82.5;75.5;82.5;81.5;79.5;81.5;83;79;78;84;78;75;79;77;76.5;84.5;78;80;81;78;78.5;75.5;79;76.5;79;82;79.5;82.5;80;80.5;82.5;72.5;82;79.5;82;82;81;84;76.5;81;77.5;82.5;76;78;85;83.5;71;82.5;79.5;81.5;82;75.5;83.5;84;84;76;83.5;79;80;83;78;85;83;80;82.5;80;80.5;80;79;75.5;73;80.5;83.5;78;76;81;81;76
KNN;98;99;96.5;92;94.5;96;94.5;96.5;97.5;95;93.5;96;93.5;95;98;95;96;93.5;97;97.5;95;97.5;97.5;94;95.5;93;95.5;95.5;93.5;93;97.5;94.5;95.5;94.5;93;93;95.5;97.5;97;95.5;97;96;94;91;98;96;96.5;95;95;96.5;96.5;95;96;96;94;96;98;96.5;96;96.5;95;98;98;94.5;94.5;95.5;96;98;96;96.5;99;95;94;96;93.5;95;96;95.5;96.5;94.5;96;96.5;94.5;94.5;95;96;95;94;96;95.5;94.5;93.5;92;96;95;98;94.5;95;96.5;95.5
GNB;85.5;77;83.5;83.5;79;91;80;85.5;88;84;78.5;89;77;81.5;85;71;80;82;85;84.5;82.5;84;85.5;81.5;87.5;81;84.5;86;86.5;87;77;88.5;83.5;84.5;80;83;85.5;77.5;83;78.5;88;85;80;86;81.5;79.5;81.5;81;80;90.5;85.5;77;81.5;86;81.5;78;87;83;82;83;81;82.5;88.5;77.5;78.5;81.5;84.5;85;79.5;85;84.5;83.5;80.5;83;84;79;82;84;86.5;85;81.5;84.5;80;80;83;88.5;83.5;84.5;83.5;83;85;84.5;79.5;84.5;80.5;84;83;81.5;86.5;88
SVM;97.5;97.5;95.5;93.5;94.5;95.5;97;97;98;97;93.5;95.5;95.5;95;98;95.5;96.5;97.5;97;97.5;96.5;96;97.5;95.5;97;95.5;96.5;97;96;94;98;96;95;96;95;95;96.5;97;95.5;96.5;97.5;95.5;95.5;92;98;96;98;96;94.5;96;97.5;97.5;98;96;95;94.5;99;96.5;96;96.5;94;99;95;96;96.5;97.5;98.5;97;97;96.5;98;97;95.5;95;96;98;98;96;97.5;95.5;96;96;96;95.5;95;97;94;95;97.5;97;96;93.5;97.5;94.5;95.5;98.5;95;96;96.5;97.5
bior1.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
