bior1.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RFC;82;81.5;78;75.5;75.5;81.5;77;78.5;85;82.5;78;79.5;85;81;78;74;77.5;79.5;82;78;82;74.5;78;78.5;79;76.5;80.5;77.5;80.5;78;78;82.5;78;81;82;80;80;80.5;80.5;81.5;75.5;81;79.5;81;78.5;82.5;81;80.5;77.5;76;80.5;77;77;72;78;81.5;80.5;75.5;81;73;74.5;82;80.5;81.5;80.5;80;79;77.5;76;78;80.5;82;74;79;85;80;77;74;77;76;76.5;81.5;78.5;78.5;81;79.5;77;78.5;81.5;77.5;77.5;82;75.5;78;78;81.5;74;76.5;76.5;81
KNN;96.5;99;96.5;98;97;96.5;96.5;98;99.5;98;97;96;98;96;99;95.5;97;96.5;99;99;97;97.5;96.5;98;96.5;96.5;96.5;98;95.5;95.5;98.5;98;96;97;98.5;97;97;97.5;96.5;95.5;98.5;97.5;96;96;99;97.5;97;97.5;97.5;98;98.5;96;98;96.5;95;97;97.5;98;98;97;96;96;98.5;97.5;97.5;98;99;98;98;97;98;98.5;96;98;97.5;99;98;97;97.5;96;98;98.5;97;94.5;95.5;99;96.5;97;98;98;97;96.5;97.5;97;96.5;98.5;94.5;98;97;99
GNB;90;97.5;90.5;88;91.5;90.5;87.5;93.5;93;93.5;90.5;92;92;90;90;87.5;87.5;92.5;92.5;90.5;93;89.5;92.5;92;93.5;92.5;89.5;92;90;92.5;89.5;96.5;94;86;91;92.5;92;92.5;91.5;91;94.5;91;90;89.5;90.5;90.5;92.5;92.5;91;94;92;87;90.5;87;92;89.5;91.5;91;91.5;95;85.5;93;94;89;92;92;93.5;93.5;90;87;95;92;94.5;91.5;91;93.5;90.5;94;94.5;92;91.5;93;91;89;89.5;92.5;91.5;92;92.5;91.5;91.5;90.5;89;93;92.5;93;87.5;89.5;92;93
SVM;93;96;91.5;95.5;92;94;96;94;95.5;93.5;91.5;93;95.5;92.5;95;91.5;93;93;95.5;97;95;95.5;95.5;98;94;94;94;95.5;91.5;92.5;94;95;91;94;95.5;92.5;94;97.5;96;95.5;97.5;94;94;93.5;95;94.5;93;94.5;94;93.5;93;94;94.5;93;93;94;95;94;92.5;93.5;92.5;96.5;94.5;95.5;94;95.5;96;97;92;94;93.5;95;95;93.5;95;97;95.5;93.5;96;94.5;93;95.5;96.5;92;93.5;96.5;92.5;95;96.5;95.5;94;93.5;93;95;92;97.5;90;93.5;95.5;95
bior1.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RFC;78;85.5;82.5;77;76;77;77;82;81;78;72.5;80;76.5;83.5;79;77;77;76.5;80.5;77.5;71;78.5;80.5;84.5;80;82.5;80;84.5;77.5;79.5;80;84;77;78;81;82;76.5;85;73.5;77;77.5;78.5;78.5;80.5;79.5;81.5;79;81;80.5;74;76.5;80;77;81;78;76.5;77.5;76.5;81.5;75;75;83;83;82;75;83;78;82;80.5;77;83;79;78.5;80;81;80;84;77;77.5;79.5;76.5;77;80;82;80;78;75.5;76.5;80.5;80;80.5;78;80;78.5;73.5;84;72.5;80.5;79;82.5
KNN;96.5;99.5;95.5;96.5;94.5;96.5;97;97.5;99;98;98;95.5;97.5;96;99.5;99;97;96;98;99.5;96.5;97;97.5;96.5;97;97.5;96;98;96;94;98.5;97;97;96.5;98;97;98;98;96;96.5;98;97.5;98.5;95.5;98;97.5;97.5;96.5;95.5;96;97.5;96.5;99;95.5;97;98;98;98.5;96;97.5;94.5;98;97.5;97.5;98;98.5;98.5;97.5;98;95;99;97;98;98;97.5;97.5;98;96.5;98.5;95;98;99;96.5;96.5;96;99;97;95;98;98;96.5;98;97;97;98.5;99.5;95;97.5;97.5;98.5
GNB;93.5;95;90.5;88.5;89;92;92.5;92.5;95;90.5;90.5;94;89.5;91;92.5;87;87.5;89.5;92.5;90;90.5;94;90;92.5;95;90;95;96.5;92;90.5;89;94.5;91.5;92.5;91.5;92;93;94;85.5;88;91.5;93;92.5;93;93;92.5;92.5;93;89.5;95;93.5;85.5;90;91.5;88.5;88.5;91;92;92;92.5;89;93;91.5;94;90.5;96.5;94.5;92.5;85.5;92;93.5;90.5;94.5;91;90.5;89;94.5;92.5;92.5;92;90.5;90;94.5;92.5;91;96.5;88.5;90.5;95;90.5;91.5;91.5;91;91;88;95;90.5;95;94.5;95.5
SVM;95;97.5;92;92.5;95;96;94.5;95;96.5;95;91;94.5;96.5;92.5;95.5;92;89;94.5;94;96.5;95;93.5;95;94;94.5;92.5;95;95;93.5;93.5;96;94;93;93;95;95.5;94.5;96;93.5;94.5;95;93;93;93;95;93.5;92;94;92.5;94;92;94;94.5;91;93;94.5;94.5;91.5;93.5;96;91.5;95.5;93.5;95;95.5;94;96;93.5;91;94;94;95;94.5;92.5;95;94.5;96.5;93.5;95;93;93.5;93;92;90;93.5;94.5;93;94.5;96;94.5;92;94;94;94.5;92.5;98.5;89.5;95.5;93.5;95.5
bior1.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
