bior1.1
RFC;63.322;66.118;63.076;60.197;57.895;68.092;67.845;61.595;62.500;65.707;58.470;70.641;67.845;66.036;62.007;69.737;62.664;67.352;60.033;66.776;60.033;69.901;62.500;65.872;57.895;68.503;57.319;71.299;59.539;65.543;57.566;68.503;63.158;65.378;65.543;62.829;62.747;62.911;63.405;64.556;65.296;69.984;65.378;67.434;63.240;66.036;64.803;60.362;68.257;64.803;67.434;64.474;62.336;67.845;62.829;65.378;65.049;63.816;67.928;59.786;68.421;57.566;61.349;59.211;69.819;64.474;73.109;68.997;60.855;66.118;61.102;66.283;58.470;67.599;63.898;57.237;67.434;66.694;71.053;58.388;69.079;67.105;69.408;62.829;70.888;65.214;63.816;55.428;65.132;67.188;58.635;69.243;64.720;62.829;68.339;63.651;68.339;62.664;72.615;60.526
KNN;86.842;88.240;87.582;43.010;41.118;86.349;88.240;45.477;88.240;86.760;81.497;87.911;88.240;86.431;42.599;86.678;47.944;82.237;46.875;85.855;82.566;89.556;85.691;87.171;83.553;84.457;42.352;91.201;85.691;82.319;43.174;86.595;87.336;88.569;88.158;85.691;82.401;86.102;82.072;83.224;80.510;87.500;40.049;85.938;45.888;85.691;88.651;84.539;86.842;86.513;86.924;87.747;85.855;86.102;84.128;44.984;86.020;85.444;87.253;84.622;88.240;43.010;83.635;42.105;90.049;91.118;89.967;88.322;43.339;87.171;45.970;86.184;40.378;87.500;82.895;42.434;87.582;85.033;84.868;43.421;89.720;83.059;88.158;44.490;44.161;84.293;87.747;84.786;85.855;84.128;47.204;90.132;85.526;82.648;88.898;86.760;87.007;42.023;89.967;45.559
GNB;58.635;62.253;52.138;11.020;12.007;54.276;66.365;12.171;55.099;57.730;49.342;58.964;64.309;54.852;11.678;54.030;11.266;52.385;8.882;64.885;53.783;66.776;51.562;62.500;47.615;52.467;10.115;59.539;46.135;43.586;11.513;56.743;55.181;57.072;60.609;49.178;45.312;57.484;50.740;48.355;47.944;51.480;9.786;63.569;9.128;56.661;65.214;45.970;62.336;58.799;63.076;58.553;45.559;58.882;54.523;8.799;52.878;55.263;64.967;50.329;59.786;11.266;45.559;11.595;68.668;59.622;67.434;61.349;11.102;59.786;11.349;48.766;10.773;54.276;50.576;10.444;67.188;43.914;52.961;10.280;61.184;48.355;62.089;10.280;11.431;53.043;69.243;58.470;50.658;48.191;12.336;63.980;53.372;49.178;56.497;55.345;50.822;10.033;65.707;11.349
SVM;24.178;27.961;24.260;34.786;27.056;28.454;29.112;30.181;25.247;30.345;24.918;26.398;24.013;27.056;30.839;23.273;26.645;26.727;26.151;27.467;30.016;30.592;24.260;30.263;25.493;33.635;28.207;27.220;27.303;24.671;27.878;26.234;34.293;23.849;27.796;23.191;26.974;25.822;30.099;33.799;31.168;29.194;32.401;26.645;25.493;28.618;25.000;23.273;27.467;27.467;22.780;24.507;22.122;29.276;31.497;29.523;26.316;33.470;23.355;31.332;35.691;28.618;25.082;29.523;26.069;26.974;34.293;20.724;26.727;29.688;26.480;24.013;32.566;29.112;32.566;29.523;34.046;23.931;29.934;29.852;27.220;26.727;24.342;26.398;31.826;26.069;28.454;29.030;27.138;33.964;22.204;27.056;27.056;31.086;28.618;30.181;27.714;35.197;25.493;25.987
bior1.3
RFC;67.188;70.888;61.184;65.625;62.500;69.737;72.204;56.168;63.240;69.737;62.418;71.217;68.832;66.447;60.609;68.750;62.336;68.997;62.747;68.503;62.336;72.615;67.270;70.724;62.171;67.681;58.224;67.599;63.816;63.158;61.842;68.750;65.707;68.668;69.079;70.559;60.855;65.543;64.556;66.036;64.145;67.681;69.243;71.546;66.859;67.270;69.572;65.954;70.066;68.010;65.049;64.556;69.819;67.023;65.049;65.049;66.283;67.599;68.421;65.049;68.832;56.661;65.461;58.717;71.546;65.461;71.299;68.586;63.734;71.957;61.102;67.105;62.993;70.148;64.391;62.500;68.421;66.365;69.079;57.648;69.984;63.734;68.010;68.339;68.750;64.227;69.161;64.803;67.599;71.382;56.908;71.546;67.023;64.967;67.188;66.365;70.724;65.049;73.849;56.414
KNN;87.418;89.062;86.760;41.365;47.204;87.911;90.461;43.257;86.760;87.089;83.059;87.829;88.734;88.158;41.612;88.405;42.516;85.444;45.148;87.582;84.046;89.391;86.513;87.253;83.799;85.280;42.681;92.188;85.691;83.635;45.312;86.924;86.513;89.391;88.240;87.500;83.306;87.418;80.757;83.882;82.977;87.171;43.997;87.582;43.914;86.266;89.062;85.609;86.924;87.253;87.911;87.089;86.595;87.911;85.197;43.668;86.102;86.266;87.911;84.786;89.062;44.326;86.595;42.188;91.118;90.872;91.201;87.418;43.750;87.911;43.174;85.197;44.490;88.322;84.293;43.503;89.803;86.595;88.240;43.257;90.543;83.470;88.651;42.352;44.819;84.951;88.405;84.539;87.911;87.418;45.477;89.145;85.115;84.211;89.062;87.747;86.595;41.036;90.625;41.859
GNB;60.526;58.799;60.855;12.747;11.760;56.168;67.928;8.635;52.878;62.007;51.069;60.362;63.487;60.609;10.609;57.977;8.306;52.303;10.280;67.023;57.566;65.625;54.523;58.882;52.632;55.345;12.089;66.283;48.684;43.092;11.760;58.224;57.401;61.924;66.941;54.523;48.520;55.674;47.780;47.039;48.766;60.773;8.964;64.720;9.622;57.895;69.901;47.204;63.158;55.757;65.132;60.938;52.467;59.375;58.224;12.993;55.428;51.562;63.405;54.030;64.474;10.609;55.016;10.855;68.997;56.990;68.503;62.500;11.431;62.418;11.595;52.467;9.704;60.033;57.812;8.799;67.763;53.207;52.385;10.691;58.470;46.793;66.118;9.951;11.020;51.809;68.092;53.207;55.839;50.082;14.145;67.023;52.796;49.671;59.457;59.786;54.605;9.539;67.434;9.704
SVM;27.467;28.783;25.411;34.211;27.467;29.605;34.539;31.003;25.000;33.635;28.536;26.809;26.234;29.852;31.826;24.424;32.812;28.783;24.178;26.398;28.865;31.661;28.043;32.566;26.562;31.168;27.961;27.878;26.809;27.878;28.454;26.727;32.237;25.658;28.947;25.905;27.961;26.562;34.128;34.375;30.839;31.579;37.007;31.086;26.480;26.645;24.753;23.766;28.289;25.740;23.931;26.151;24.013;31.250;31.908;30.921;29.112;34.211;25.082;29.112;34.211;29.112;26.151;28.865;23.766;29.112;36.266;23.684;26.398;33.141;25.164;25.247;32.648;27.220;33.141;30.674;35.444;23.766;34.868;31.497;26.645;28.618;27.961;24.836;36.924;28.536;27.056;28.618;27.138;37.993;21.135;27.796;24.671;29.770;29.688;29.770;30.839;33.470;25.987;30.016
bior2.2
RFC;67.352;71.711;68.832;61.760;66.612;71.382;72.862;60.773;67.023;70.066;67.105;71.711;70.641;71.299;52.467;69.655;65.132;69.490;67.188;69.572;64.309;74.671;68.832;70.559;67.599;71.053;64.638;71.711;66.447;67.516;62.993;72.780;74.589;68.668;70.970;74.260;65.707;71.135;68.503;67.845;66.776;72.122;68.668;72.039;67.928;68.339;71.299;66.694;74.095;70.477;72.286;71.875;69.079;72.286;67.516;71.382;71.299;73.109;73.191;71.217;69.079;58.882;65.543;62.089;73.191;69.737;75.329;68.832;66.118;71.793;64.227;71.628;61.678;71.546;70.806;64.145;74.671;69.984;72.451;64.309;72.451;66.776;69.819;70.477;69.326;68.257;65.789;67.845;70.641;70.888;62.253;76.891;67.516;66.530;70.888;69.901;64.720;68.503;71.464;60.938
