bior1.1
RFC;65.707;67.105;62.500;66.365;66.694;69.079;68.339;61.760;66.941;68.092;66.365;68.421;65.132;67.105;64.062;65.789;65.789;69.243;69.161;70.559;67.270;70.477;63.076;65.132;65.543;63.898;67.023;68.997;66.201;66.201;65.707;67.434;66.612;66.530;62.171;67.928;68.914;64.062;67.270;64.556;66.118;66.776;64.967;68.092;68.092;65.049;64.638;65.132;68.997;67.845;68.997;65.789;67.681;68.092;66.941;64.720;65.954;66.776;66.941;65.378;64.720;66.118;65.954;68.010;68.339;66.941;67.188;66.447;67.188;66.694;67.023;68.997;67.599;66.859;66.447;66.941;69.408;66.201;68.421;65.461;68.832;66.530;66.612;65.049;67.599;67.105;66.694;66.201;66.776;65.543;65.378;68.174;66.859;67.270;65.543;67.270;63.816;67.434;62.664;65.707
KNN;47.368;49.753;48.602;48.191;48.026;50.082;48.355;48.602;47.039;48.849;46.217;47.533;48.191;49.260;47.697;47.122;47.451;49.342;48.520;49.013;50.247;52.303;47.286;48.931;46.793;47.615;48.520;49.836;49.589;47.286;50.082;49.507;48.602;48.602;49.260;49.424;49.918;48.520;47.451;48.438;49.013;45.888;48.026;47.862;47.862;47.862;48.026;47.368;49.424;49.507;49.342;48.438;48.520;48.191;48.438;48.191;50.000;49.342;49.424;47.697;47.697;49.178;48.109;49.671;49.260;46.299;48.602;48.931;50.000;49.013;47.286;48.191;49.507;47.286;47.697;49.178;49.013;47.039;48.273;47.122;48.355;49.013;48.026;48.766;48.438;48.109;48.684;48.438;48.355;49.507;46.053;48.191;49.424;47.368;47.862;49.178;48.931;48.520;46.628;49.013
GNB;76.974;77.878;76.891;77.467;75.822;78.372;79.770;75.905;77.220;79.441;77.796;78.865;77.303;77.796;73.438;77.878;75.740;79.770;78.043;80.099;78.454;79.934;78.289;76.891;77.056;75.658;77.878;80.099;77.467;76.151;77.714;77.220;77.303;78.783;74.095;78.701;78.701;76.809;77.714;75.329;77.385;75.000;77.467;77.138;78.865;78.125;76.809;78.701;79.112;77.714;78.783;78.372;77.549;76.891;78.536;76.316;75.658;75.740;75.905;77.549;77.796;75.905;76.809;79.030;77.467;76.069;76.151;76.234;77.467;76.727;77.878;78.207;77.138;77.878;77.303;79.605;80.345;78.865;77.220;75.411;79.523;77.303;75.740;75.576;75.905;76.480;75.329;77.878;78.043;76.727;77.385;76.891;77.961;78.536;78.865;79.112;75.987;79.770;74.753;77.714
SVM;9.868;12.747;13.734;12.664;13.898;11.595;9.951;12.007;14.556;13.651;9.622;11.184;11.595;11.102;10.855;12.582;9.539;8.882;13.487;10.033;14.720;9.128;13.487;12.500;11.184;12.253;17.270;8.717;11.678;8.799;14.062;11.595;12.007;11.266;13.816;11.020;12.171;12.089;13.240;9.786;10.855;9.375;14.309;9.786;11.184;11.842;11.349;12.829;9.786;14.391;11.102;12.664;11.924;13.487;12.253;9.786;10.526;13.980;11.842;11.431;12.829;9.951;16.776;11.513;11.513;16.365;10.444;14.803;13.569;14.803;12.911;10.691;10.115;14.309;12.253;12.171;9.786;12.829;13.734;11.595;11.349;9.951;12.336;9.951;13.240;10.280;14.885;11.842;11.678;13.898;8.635;12.993;12.171;13.076;11.184;9.951;13.076;14.885;10.938;11.760
bior1.3
RFC;67.928;71.628;68.832;71.628;67.599;70.559;70.312;70.066;70.970;70.066;66.118;70.888;68.586;69.572;67.928;70.395;65.378;70.477;71.135;70.559;68.586;70.230;66.283;67.763;68.997;68.092;71.546;69.901;67.845;67.928;66.365;69.572;67.352;67.188;66.530;69.655;68.421;68.914;68.257;67.105;68.997;66.365;68.503;68.339;70.888;68.832;70.230;67.023;70.148;69.490;67.845;67.270;69.490;68.997;69.901;68.339;69.243;69.161;69.161;69.819;67.188;67.928;68.010;68.914;68.010;69.819;66.859;67.023;69.490;68.257;68.997;71.546;68.503;67.270;68.339;70.724;68.832;68.421;70.148;67.188;68.914;68.092;69.161;68.010;68.010;67.681;67.434;68.586;66.776;67.763;68.503;69.572;67.681;69.079;67.270;69.901;68.339;70.888;66.612;68.421
KNN;51.562;53.454;52.303;52.878;52.796;54.112;52.056;52.385;51.645;52.056;51.316;51.891;51.727;53.618;51.398;52.385;50.987;53.701;53.454;51.480;54.112;54.605;51.069;53.372;52.056;51.645;52.549;52.878;52.878;52.056;53.207;51.974;53.536;52.961;52.714;52.467;54.359;53.289;51.645;50.905;52.056;50.740;51.234;51.974;51.809;51.069;51.562;51.151;52.714;53.125;53.043;54.441;52.056;52.220;52.878;51.727;53.701;52.056;51.974;51.234;52.220;52.549;51.974;53.618;53.947;51.727;53.618;52.714;53.289;53.207;51.480;51.974;54.030;51.809;51.398;52.220;53.372;52.467;51.645;51.069;52.632;52.056;51.891;52.220;52.549;50.987;52.549;51.398;53.372;52.467;50.822;52.138;51.645;52.467;50.329;52.878;53.865;51.974;50.658;51.727
GNB;78.536;81.250;79.523;81.661;78.454;80.181;81.579;77.961;79.688;80.674;81.003;81.661;80.428;79.934;78.125;79.276;77.878;81.661;81.908;82.155;80.428;80.016;80.263;79.934;80.510;79.194;81.003;81.086;80.674;80.674;80.428;79.688;79.770;81.497;77.549;79.770;80.345;81.168;79.770;77.796;80.428;78.536;79.523;79.605;81.168;80.099;78.947;80.921;82.155;81.332;81.497;82.237;80.674;80.839;80.016;79.770;78.454;78.043;78.865;79.030;79.934;78.947;79.276;79.770;78.536;79.030;81.332;79.441;80.016;79.359;80.345;81.497;79.852;80.263;81.003;82.319;81.497;80.592;81.086;79.605;80.263;80.263;79.276;79.441;77.467;78.783;78.618;80.428;79.770;79.112;79.523;80.181;79.852;79.688;81.908;81.908;80.757;81.908;78.043;80.181
SVM;15.296;14.391;11.842;9.211;13.240;11.431;15.954;16.283;15.872;11.760;14.885;14.309;13.734;12.500;12.418;12.418;13.734;12.664;12.582;15.214;15.543;12.829;13.405;12.171;15.707;13.487;13.734;14.145;11.760;13.405;14.145;12.089;12.171;11.266;15.461;13.487;8.964;13.816;16.283;14.227;12.418;15.707;15.461;11.678;14.720;14.309;13.898;9.786;14.145;13.980;11.924;13.405;17.928;13.322;15.707;12.911;12.664;13.816;12.418;13.487;15.789;17.188;11.924;12.911;14.062;12.253;15.461;15.543;13.240;14.145;13.076;10.362;10.526;13.240;14.227;10.855;15.954;16.036;13.734;13.076;13.322;17.270;14.720;14.638;15.625;13.322;11.431;15.789;15.872;15.132;13.569;13.240;14.309;13.980;13.240;14.885;15.296;13.569;17.105;16.283
bior1.5
